Address,Address2,Beam,Boatname,Builder,Category,City,Class,Condition,Description,Draft,Headline,Height,Length,Make,Mileage,Model,Msrp,Price,Horsepower,State,Stocknumber,Unique,Vin,Width,Year,Zipcode,Fuel,Phone,Photo1,Photo2,Photo3,Photo4,Photo5,Photo6,Photo7,Photo8,Photo9,Photo10,Photo11,Photo12,Photo13,Photo14,Photo15,Photo16,Photo17,Photo18,Photo19,Photo20,Photo21,Photo122,Specifications
"15725 Lakewood Blvd.",[],0,WMP20XIA1T,HONDA,STANDARD,Paramount,EQUIPMENT,NEW,[],0,[],0,0,HONDA,0,WMP20XIA1T,$659,$499,0,CA,HG51168,5f3e3fc10ff62a23d31c1e13,WAAA1051168,0,2019,90723,GAS,+14244013292,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2019/HONDA/WMP20XIA1T/WAAA1051168/1599684301.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2019/HONDA/WMP20XIA1T/WAAA1051168/1599684310.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2019/HONDA/WMP20XIA1T/WAAA1051168/1599684323.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2019/HONDA/WMP20XIA1T/WAAA1051168/1599684333.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/WAAA1051168/3c3bfce5d1c876fb85587ff285bdd3cf.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/WAAA1051168/2aa6610925ffb820ee8cde53d88cdc45.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/WAAA1051168/136759a6e8a7384b03e1945f6a89af6a.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/WAAA1051168/008ed3d044c3c75bbe669570eab9dc2d.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/WAAA1051168/25c9bd7f4d87b0c187e15d76133e7c6e.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/WAAA1051168/a82708d43cb54178552ece7a03ae54f8.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/WAAA1051168/cd2d500c083463a85b3b7310978a16aa.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/WAAA1051168/06193ec3c0ff8104766f9273d66abf60.jpg,,,,,,,,,,,
"15725 Lakewood Blvd.",[],0,CRF50F,HONDA,STANDARD,Paramount,MOTORCYCLE,USED,[],0,[],0,0,HONDA,0,"CRF 50F",$0,"$1,399",0,CA,UP03859,5f3e6023ae3e7907cc7a6dcb,LALAE0410F3203859,0,2015,90723,,+14244013292,,,,,,,,,,,,,,,,,,,,,,,
"15725 Lakewood Blvd.",[],0,URUSHLONY,YAMAHA,STANDARD,Paramount,"ELECTRIC BIKE",NEW,[],0,[],0,0,YAMAHA,3,URBANRUSH,"$3,299","$3,299",0,CA,YB01083,5ffa7168ef5b8802bd2f21a5,X1M40001083,0,2020,90723,,+14244013292,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2020/YAMAHA/URBANRUSH/X1M40001083/1616007646.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2020/YAMAHA/URBANRUSH/X1M40001083/1616007668.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2020/YAMAHA/URBANRUSH/X1M40001083/1616007677.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2020/YAMAHA/URBANRUSH/X1M40001083/1616007685.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2020/YAMAHA/URBANRUSH/X1M40001083/1616007691.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2020/YAMAHA/URBANRUSH/X1M40001083/1616007702.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2020/YAMAHA/URBANRUSH/X1M40001083/1616007709.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2020/YAMAHA/URBANRUSH/X1M40001083/1616007722.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2020/YAMAHA/URBANRUSH/X1M40001083/1616007762.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2020/YAMAHA/URBANRUSH/X1M40001083/1616007779.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2020/YAMAHA/URBANRUSH/X1M40001083/1616007785.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/X1M40001083/84fe1d676ad649df95a6a675fe2d49f6.jpg,,,,,,,,,,,
"15725 Lakewood Blvd.",[],0,EU1000T1AG,HONDA,STANDARD,Paramount,EQUIPMENT,NEW,[],0,[],0,0,HONDA,0,"EU1000i ",$979,$979,0,CA,HG27554,6010db5a76dc1f52833ceb6a,EAAT3027554,0,2019,90723,,+14244013292,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/HONDA/EU1000T1AG/RED/83dcefb7.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/HONDA/EU1000T1AG/RED/1ad5be0d.jpg,,,,,,,,,,,,,,,,,,,,,
"15725 Lakewood Blvd.",[],0,EN650CMFAL,KAWASAKI,CRUISER,Paramount,MOTORCYCLE,USED,[],0,[],0,0,KAWASAKI,59,"VULCAN S ABS","$7,599",$0,0,CA,UP28450,6070a9126377366cc42644ba,JKAENED10MDA28450,0,2021,90723,Gas,+14244013292,,,,,,,,,,,,,,,,,,,,,,,"Engine:Standard,EngineType:Parallel Twin,Cylinders:2,EngineStroke:4-Stroke,TorqueFtLbs:463,TorqueNm:628,TorqueRpm:6600,Cooling:Liquid,Valves:8,ValvesPerCylinder:4,ValveConfiguration:DOHC,BoreMm:83,BoreIn:327,StrokeMm:60,StrokeIn:236,DisplacementCc:649,DisplacementCi:396,CompressionRatio:1081,Starter:Electric,FuelRequirements:Regular,FuelType:Gas,Turbocharged:No,Supercharged:No,Carburetion:Standard,CarburetionBrand:Keihin,FuelInjector:Yes,FuelInjectorSizeMm:38,Carburetor:No,CarburetionType:Fuel Injected,SpeedGovernor:No,Transmission:Standard,TransmissionType:Manual,NumberOfSpeeds:6,PrimaryDriveRearWheel:Chain,Reverse:No,HeelToeShifter:Standard,Dimensions:Standard,LengthIn:909,LengthMm:23089,WidthIn:346,WidthMm:8788,HeightIn:433,HeightMm:10998,WheelbaseIn:62,WheelbaseMm:15748,GroundClearanceIn:51,GroundClearanceMm:1295,LengthFt:758,LengthFtft:7,LengthFtin:69,Weight:Standard,WetWeightLbs:4983,WetWeightKg:226,Capacities:Standard,FuelCapacityGal:37,FuelCapacityL:14,Performance:Standard,Construction:Standard,Frame:Steel,HandGrips:Standard,FootPegs:Standard,FootPegLocation:Driver,Adjustable:No,ExteriorGuards:Standard,ChainGuard:No,DriveShaftGuard:No,ForkGuards:Yes,HandGuards:No,BrushGuard:No,HeelGuards:No,LightGuard:No,ExteriorCovers:Standard,SideCover:No,FrontFender:Standard,RearFender:Standard,TopCrown:Standard,Pocket:No,Stand:Standard,StandType:Kick,Handlebars:Standard,LicensePlate:Standard,FrontSuspension:Standard,FrontSuspensionType:Telescopic Fork,FrontSuspensionSizeIn:16,FrontSuspensionSizeMm:41,FrontTravelIn:51,FrontTravelMm:1295,FrontAdjustableForkPre-Load:No,FrontAdjustableReboundDamping:No,FrontCentralSuspensionStrut:No,SteeringDamper:No,RearSuspension:Standard,RearSuspensionType:Twin Sided Swing Arm,RearTravelIn:31,RearTravelMm:787,RearAdjustableShockSpringPre-Load:Yes,RearAdjustableReboundDamping:No,NumberRearShockAbsorbers:1,RearSuspensionMaterial:Steel,AirAdjustable:No,Wheels:Standard,WheelsComposition:Aluminum,FrontWheelWidthIn:35,RearWheelWidthIn:45,Chromed:Yes,Tires:Standard,TireBrand:Dunlop,FrontTireWidth:120,FrontTireAspectRatio:70,FrontTireSpeedRating:H,FrontWheelDiameter:18,RearTireWidth:160,RearTireAspectRatio:60,RearTireSpeedRating:H,RearWheelDiameter:17,FrontTireFullSpec:Dunlop,RearTireFullSpec:Dunlop,Brakes:Standard,BrakeBrandName:Nissin,FrontBrakeType:Hydraulic Disc,FrontBrakeDiameterIn:118,FrontBrakeDiameterMm:300,RearBrakeType:Hydraulic Disc,RearBrakeDiameterIn:98,RearBrakeDiameterMm:250,Anti-LockBrakes:Standard,LinkedBrakeSystemFrontToRear:Standard,Seat:Standard,SeatType:One-Piece,SeatMaterial:Vinyl,SeatLocation:Driver,Folding:No,SeatSpecifications:Standard,SeatHeightIn:278,SeatHeightMm:7061,NumberOfSeats:1,Detachable:No,DigitalInstrumentation:Standard,Clock:Standard,Tachometer:Standard,TripOdometer:Standard,TripComputer:Standard,Speedometer:Standard,TemperatureWarning:Standard,TemperatureWarningType:Light,FuelLevelWarning:Standard,FuelLevelWarningType:Gauge,HelmetLocks:Standard,CamouflageTrim:No,HeadlightMounts:Standard,HalogenHeadlights:Standard,Headlights:Standard,Type:Halogen,RearviewMirrors:Standard,PowerOutlet:Standard,AdjustableHandlebars:Standard,AdjustableLevers:Standard,HandlebarLock:Standard,Satellite:No,Steering:Standard,SteeringControl:Handlebar,PreviousModelYearAccessories:Yes,OtherConvenience:Optional,SeatBackrest:Optional,BackrestLogoPlate:No,BackrestType:Detachable,BackrestLocation:Passenger,LumbarAdjustment:No,OtherMounts:Optional,RearRack:Optional,SideStorageMount:Optional,SaddleBagMounts:Optional,SaddleBags:Optional,SaddleBagMaterial:Vinyl,SaddleBagTrim:Plain,NumberOfSaddleBags:2,Location:Left and Right Side,WindshieldMounts:Optional,DetachablePassengerSeat:Optional,GrabRailOrStrap:Optional,Windshield:Optional,WindshieldLowers:No,HeightAdjustable:No,Tinted:No,Height:Mid,BagLiners:Optional,BagLinerMaterial:Cloth,TankBag:Optional,TankBagMaterial:Vinyl,TankBagTrim:Plain,StorageCover:Optional"
"15725 Lakewood Blvd.",[],0,"TX 300I",HUSQVARNA,STANDARD,Paramount,MOTORCYCLE,NEW,[],0,"<![CDATA[On Sale NOW!]]>",0,0,HUSQVARNA,0,"TX 300I","$10,999","$8,999",0,CA,HU38998,60d3ef29f2f6d314c3001aad,VBKUCM235NM338998,0,2022,90723,GAS,+14244013292,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2022/HUSQVARNA/TX%20300I/VBKUCM235NM338998/1627419101.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2022/HUSQVARNA/TX%20300I/VBKUCM235NM338998/1627419113.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2022/HUSQVARNA/TX%20300I/VBKUCM235NM338998/1627419126.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2022/HUSQVARNA/TX%20300I/VBKUCM235NM338998/1627419140.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2022/HUSQVARNA/TX%20300I/VBKUCM235NM338998/1627419157.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2022/HUSQVARNA/TX%20300I/VBKUCM235NM338998/1627419165.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2022/HUSQVARNA/TX%20300I/VBKUCM235NM338998/1627419176.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2022/HUSQVARNA/TX%20300I/VBKUCM235NM338998/1627419196.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2022/HUSQVARNA/TX%20300I/VBKUCM235NM338998/1627419207.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2022/HUSQVARNA/TX%20300I/VBKUCM235NM338998/1627419217.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2022/HUSQVARNA/TX%20300I/VBKUCM235NM338998/1627419245.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2022/HUSQVARNA/TX%20300I/VBKUCM235NM338998/1627419273.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/showroom/2022/Husqvarna/TX%20300i/b300fb021e9a4a81c0f0c216ebd11492.png,https://psx-photos.s3.us-west-2.amazonaws.com/showroom/2022/Husqvarna/TX%20300i/3ad0ce845e973b9ca78ab1d3e308063a.png,https://psx-photos.s3.us-west-2.amazonaws.com/showroom/2022/Husqvarna/TX%20300i/456c0b12aad1eb3a8506e4009d845d57.png,https://psx-photos.s3.us-west-2.amazonaws.com/showroom/2022/Husqvarna/TX%20300i/a5ddd495d59549a4fb0a50e456b6ee05.png,https://psx-photos.s3.us-west-2.amazonaws.com/showroom/2022/Husqvarna/TX%20300i/cb6973d55167204660d45256ed245587.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/showroom/2022/Husqvarna/TX%20300i/797a6f4e00553a3e823b2dd04fc887e7.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/showroom/2022/Husqvarna/TX%20300i/44e28debd36a92c9a1e3bd65549ffe70.jpg,,,,"Transmission:6-speed,Starter:Electric starter,Stroke:72 mm,Bore:72 mm,Clutch:Wet DDS multi-disc clutch Brembo hydraulics,Displacement:2932 cm,Ems:Continental EMS,Design:1-cylinder 2-stroke engine,WeightWithoutFuel:1015 kg,TankCapacityApprox:85 l,FrontBrakeDiscDiameter:260 mm,RearBrakeDiscDiameter:220 mm,FrontBrake:Disc brake,RearBrake:Disc brake,Chain:58 x 14,FrameDesign:Central double-cradle-type 25CrMo4 steel,FrontSuspension:WP XACT-USD 48 mm,GroundClearance:375 mm,RearSuspension:WP XACT Monoshock with linkage,SeatHeight:950 mm,SteeringHeadAngle:639 ,SuspensionTravelFront:310 mm,SuspensionTravelRear:300 mm"
"15725 Lakewood Blvd.",[],0,AT125-2,KAYO,YOUTH,Paramount,ATV,NEW,[],0,[],0,0,KAYO,0,"PREDATOR 125","$1,799",$999,8,CA,KO03904,60d3ef29f2f6d314c3001abd,L6JAGJLC5M1003904,0,2021,90723,GAS,+14244013292,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/L6JAGJLC5M1003904/0367f6a3e6250e40bb61d3ec83d9a9cc.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/L6JAGJLC5M1003904/15dba05e9a7c2e85e69fb6c92ede4353.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/L6JAGJLC5M1003904/a01fccc52abb2502f2d130ca1d6d51d7.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/L6JAGJLC5M1003904/b5e2869531b7ab387d4410d0d4ebb304.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/L6JAGJLC5M1003904/2f9f345a010fd2ff9f8dca7bc1e0b1a8.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/L6JAGJLC5M1003904/86dd4db96eb1b10efad5edbaf1d6a26f.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/L6JAGJLC5M1003904/cb03d76b0e39d5deb6ac4394d839abe6.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/L6JAGJLC5M1003904/9e4e4a864fca7447c1e61346609ab76d.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/L6JAGJLC5M1003904/f22a59eaa383aa766fcb137e85460399.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/L6JAGJLC5M1003904/a0bbf62ada1471ecbc19427e30b9d74f.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/L6JAGJLC5M1003904/96e68e099e70fb3feb03f8db59a0db91.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/L6JAGJLC5M1003904/10c41941f05052e84d4f883870e45b3a.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/showroom/2021/Kayo/Predator%20125/Base/b6424e6d9f869357ea1da402e0e5b5ef.png,https://psx-photos.s3.us-west-2.amazonaws.com/showroom/2021/Kayo/Predator%20125/Base/dccc3dcdf1ffb13f4423621e28481436.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/showroom/2021/Kayo/Predator%20125/Base/52aa7cfcce38ae19a0001c05d83a4d00.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/showroom/2021/Kayo/Predator%20125/Base/4543db7f89a03a339cb1ad767d9b2219.jpg,,,,,,,"EngineType:SOHC 4-stroke,Displacement:124 cc,Ignition:Electric,Cooling:Air cooled,Transmission:Automatic F-N-R (forward neutral reverse),FinalDrive:Chain,FrontSuspension:Double A-arm,RearSuspension:Single shock - adjustable,FrontBrakes:Hydraulic disc,RearBrakes:Hydraulic disc,FrontTires:19 x 7 - 8 inches,RearTires:18 x 95 - 8 inches,OverallSizeLxwxh:535 x 33 x 346 inches,SeatHeight:26 inches,Wheelbase:36 inches,GroundClearance:43 inches,FuelCapacity:55 gallons,DryWeight:227 lbs"
"15725 Lakewood Blvd.",[],0,CRF450RN,HONDA,"MOTO CROSS",Paramount,"DIRT BIKE",NEW,[],0,"<![CDATA[On Sale NOW!]]>",0,0,HONDA,0,"CRF 450R","$9,599","$7,999",0,CA,H00810,60d691ce2dd6f127e1713586,JH2PE0739NK500810,0,2022,90723,GAS,+14244013292,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/HONDA/112498/350581/RED/1ad5be0d.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/HONDA/112498/350581/RED/6dd28e9b.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/HONDA/112498/350581/RED/f3b61b38.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/HONDA/112498/350581/RED/84b12bae.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/HONDA/112498/350581/RED/1db87a14.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/HONDA/112498/350581/RED/6abf4a82.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/HONDA/112498/350581/RED/fa005713.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/HONDA/112498/350581/RED/8d076785.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/HONDA/112498/350581/RED/a15d25e1.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/JH2PE0739NK500810/907a0a54265ba2748736727460273011.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/JH2PE0739NK500810/8ce45d4865efeb83fe979954c96ba7e4.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/JH2PE0739NK500810/d0aa3bcf4640de824f2e4d5895a6dc6e.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/showroom/2022/Honda/CRF450R/6a6be7780665438c503ab6e91e34195d.png,,,,,,,,,,"EngineType:single-cylinder four-stroke,Displacement:449cc,CoolingSystem:liquid-cooled,BoreXStroke:96mm x 621mm,CompressionRatio:135-1,Induction:Programmed Fuel Injection (PGM-FI) 46mm downdraft throttle body,Ignition:DC-CDI,Transmission:Close-ratio five-speed,FrontSuspension:49mm inverted Showa fork with rebound and compression damping adjustability 122 inches of travel,RearSuspension:Pro-Link Showa single shock with adjustable spring preload rebound and compression damping adjustability 124 inches of travel,FrontBrakingSystem:Single 260mm disc with twin-piston caliper,RearBrakingSystem:Single 240mm disc,FrontTire:Dunlop MX33 80100-21,RearTire:Dunlop MX33 12080-19,Wheelbase:583 inches,FuelCapacity:17 gallons,SeatHeight:38 inches,CurbWeight:244 pounds (Includes all standard equipment required fluids and full tank of fuel--ready to ride)"
"15725 Lakewood Blvd.",[],0,AU125-2,KAYO,YOUTH,Paramount,ATV,NEW,[],0,[],0,0,KAYO,0,"BULL 125","$1,799",$999,8,CA,KO02751,6109fc880e2feb6f684419d4,L6JAGJLC1M1002751,0,2021,90723,GAS,+14244013292,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/KAYO/AU125-2/WHITE/83dcefb7.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/KAYO/AU125-2/WHITE/1ad5be0d.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/KAYO/AU125-2/WHITE/6dd28e9b.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/KAYO/AU125-2/WHITE/f3b61b38.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/KAYO/AU125-2/WHITE/84b12bae.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/KAYO/AU125-2/WHITE/1db87a14.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/KAYO/AU125-2/WHITE/6abf4a82.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/KAYO/AU125-2/WHITE/fa005713.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/KAYO/AU125-2/WHITE/8d076785.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/KAYO/AU125-2/WHITE/d65a1577.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/KAYO/AU125-2/WHITE/4f5344cd.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/stock/KAYO/AU125-2/WHITE/3854745b.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/showroom/2021/Kayo/Bull%20125/Base/323e570b7e5e26f0d3f73000e9b7d028.jpg,,,,,,,,,,"EngineType:SOHC 4-stroke,Displacement:124 cc,Ignition:Electric,Cooling:Air cooled,Transmission:Automatic F-N-R (forward neutral reverse),FinalDrive:Chain,FrontSuspension:Double A-arm,RearSuspension:Single shock - adjustable,FrontBrakes:Hydraulic dual disc,RearBrakes:Hydraulic disc,FrontTires:19 x 7 - 8 inches,RearTires:18 x 95 - 8 inches,OverallSizeLxwxh:551 x 334 x 364 inches,SeatHeight:248 inches,Wheelbase:354 inches,GroundClearance:35 inches,FuelCapacity:55 gallons,DryWeight:2314 lbs"
"15725 Lakewood Blvd.",[],0,ZG1400CEF,KAWASAKI,TOURING,Paramount,MOTORCYCLE,USED,[],0,[],0,0,KAWASAKI,10949,"CONCOURS 14 ABS","$11,599","$8,999",0,CA,UPS25366,613971f3f4cac26f9527bc89,JKBZGNC16EA025366,0,2014,90723,GAS,+14244013292,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2014/KAWASAKI/CONCOURS%2014%20ABS/JKBZGNC16EA025366/1631833083.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2014/KAWASAKI/CONCOURS%2014%20ABS/JKBZGNC16EA025366/1631833072.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2014/KAWASAKI/CONCOURS%2014%20ABS/JKBZGNC16EA025366/1631833059.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2014/KAWASAKI/CONCOURS%2014%20ABS/JKBZGNC16EA025366/1631833101.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2014/KAWASAKI/CONCOURS%2014%20ABS/JKBZGNC16EA025366/1631833115.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2014/KAWASAKI/CONCOURS%2014%20ABS/JKBZGNC16EA025366/1631833146.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2014/KAWASAKI/CONCOURS%2014%20ABS/JKBZGNC16EA025366/1631833211.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2014/KAWASAKI/CONCOURS%2014%20ABS/JKBZGNC16EA025366/1631833225.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2014/KAWASAKI/CONCOURS%2014%20ABS/JKBZGNC16EA025366/1631833265.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2014/KAWASAKI/CONCOURS%2014%20ABS/JKBZGNC16EA025366/1631833313.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2014/KAWASAKI/CONCOURS%2014%20ABS/JKBZGNC16EA025366/1631833328.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflosangeles/2014/KAWASAKI/CONCOURS%2014%20ABS/JKBZGNC16EA025366/1631833345.jpg,,,,,,,,,,,
