Address,Address2,Beam,Boatname,Builder,Category,City,Class,Condition,Description,Draft,Headline,Height,Length,Make,Mileage,Model,Msrp,Price,Horsepower,State,Stocknumber,Unique,Vin,Width,Year,Zipcode,Fuel,Phone,Photo1,Photo2,Photo3,Photo4,Photo5,Photo6,Photo7,Photo8,Photo9,Photo10,Photo11,Photo12,Photo13,Photo14,Photo15,Photo16,Photo17,Photo18,Photo19,Photo20,Photo21,Photo122,Specifications
"3291 Cherry Ave",[],0,JT1500NJF,KAWASAKI,STANDARD,"Long Beach",WATERCRAFT,USED,[],0,[],0,0,KAWASAKI,100,"JET SKI ULTRA 310R","$15,999",$0,0,CA,UP80381,5c9a6f1786283d446e097cd0,KAW80381D818,0,2018,90807,,+14244021934,,,,,,,,,,,,,,,,,,,,,,,
"3291 Cherry Ave",[],0,YZFR6GCL,Yamaha,SUPERSPORT,"Long Beach",MOTORCYCLE,USED,"<![CDATA[&lt;BR&gt;&lt;STRONG&gt;DEL AMO MOTORSPORTS PRICE DISCLOSURE:&lt;/STRONG&gt;&lt;BR&gt;&lt;UL&gt;&lt;LI&gt; MSRP ______________ : $9499&lt;/LI&gt;&lt;LI&gt;DEL AMO DISCOUNT __ : $500&lt;/LI&gt;&lt;LI&gt;DSRP ______________ : $8999*&lt;/LI&gt;&lt;LI&gt;A.D.M. _____________ : $693&lt;/LI&gt;&lt;LI&gt;TOTAL ______________ : $9692** + FEES (TAX AND REG)&lt;/LI&gt;&lt;/UL&gt;]]>",0,[],0,0,YAMAHA,17399,YZF-R6,"$10,999",$0,0,CA,UP11201,5d34495086283d174621a033,JYARJ16Y9GA011201,0,2016,90807,Gas,+14244021934,,,,,,,,,,,,,,,,,,,,,,,"Year:2016,Manufacturer:Yamaha,ModelName:YZF,TrimName:R6,ProductType:Motorcycle Scooter,Engine:Standard,EngineType:Horizontal In-line,Cylinders:4,EngineStroke:4-Stroke,Cooling:Liquid,Valves:16,ValvesPerCylinder:4,ValveConfiguration:DOHC,BoreMm:670,BoreIn:264,StrokeMm:425,StrokeIn:167,DisplacementCc:5990,DisplacementCi:366,CompressionRatio:1311,Starter:Electric,FuelRequirements:Regular,UsMilesPerGallonCombined:400,FuelType:Gas,Carburetion:Standard,FuelInjector:Yes,Carburetor:No,CarburetionType:Fuel Injected,Transmission:Standard,TransmissionType:Manual,NumberOfSpeeds:6,Overdrive:No,PrimaryDriveRearWheel:Chain,PrimaryDriveEngineTransmission:Gear,GearRatio1:2583,GearRatio2:20,GearRatio3:1667,GearRatio4:1444,GearRatio5:1286,GearRatio6:115,Reverse:No,Dimensions:Standard,LengthIn:803,LengthMm:20396,WidthIn:278,WidthMm:7061,HeightIn:431,HeightMm:10947,WheelbaseIn:541,WheelbaseMm:13741,GroundClearanceIn:51,GroundClearanceMm:1295,Weight:Standard,WetWeightLbs:4170,WetWeightKg:1892,Capacities:Standard,FuelCapacityGal:45,FuelCapacityL:170,Performance:Standard,EngineDisplacementToWeightCc:144,Construction:Standard,Frame:Aluminum Magnesium,BodyMaterial:Plastic,HandGrips:Standard,FootPegs:Standard,FootPegLocation:Driver and Passenger,Adjustable:No,ExteriorGuards:Standard,ChainGuard:Yes,DriveShaftGuard:No,ForkGuards:Yes,SaddleBagGuard:No,BeltGuard:No,HandGuards:No,BrushGuard:No,HeelGuards:Yes,ExhaustGuard:Yes,LightGuard:No,ExteriorCovers:Standard,FrontFender:Standard,RearFender:Standard,Stand:Standard,StandType:Kick,LowerFairing:Standard,Spoiler:Standard,Handlebars:Standard,UpperFairing:Standard,FrontSuspension:Standard,FrontSuspensionType:Inverted Fork,FrontSuspensionSizeIn:16,FrontSuspensionSizeMm:410,FrontTravelIn:45,FrontTravelMm:1143,FrontAdjustableForkPre-Load:Yes,FrontAdjustableReboundDamping:Yes,FrontCentralSuspensionStrut:No,RearSuspension:Standard,RearSuspensionType:Twin Sided Swing Arm,RearTravelIn:47,RearTravelMm:1194,RearAdjustableShockSpringPre-Load:Yes,RearAdjustableReboundDamping:Yes,NumberRearShockAbsorbers:1,RearSuspensionMaterial:Aluminum,AirAdjustable:No,Wheels:Standard,WheelsComposition:Aluminum,TubeTubeless:Tubeless,FrontWheelWidthIn:35,RearWheelWidthIn:55,Chromed:No,Tires:Standard,TireBrand:Dunlop,FrontTireWidth:1200,FrontTireAspectRatio:700,FrontTireSpeedRating:Z,FrontWheelDiameter:170,RearTireWidth:1800,RearTireAspectRatio:550,RearTireSpeedRating:Z,RearWheelDiameter:170,FrontTireFullSpec:Dunlop 12070 ZR17 58W,RearTireFullSpec:Dunlop 18055 ZR17 73W,Brakes:Standard,FrontBrakeType:Dual Hydraulic Disc,FrontBrakeDiameterIn:122,FrontBrakeDiameterMm:3100,RearBrakeType:Hydraulic Disc,RearBrakeDiameterIn:87,RearBrakeDiameterMm:2200,Seat:Standard,SeatType:Two-Piece,SeatMaterial:Vinyl,SeatLocation:Driver and Passenger,Folding:No,SeatSpecifications:Standard,SeatHeightIn:335,SeatHeightMm:8509,NumberOfSeats:2,SeatTailCover:Optional,GrabRailOrStrap:Standard,DigitalInstrumentation:Standard,Clock:Standard,Tachometer:Standard,TripOdometer:Standard,TripComputer:Standard,LapTimer:Standard,ShiftLight:Standard,ShiftLightType:Adjustable,Speedometer:Standard,TemperatureWarning:Standard,TemperatureWarningType:Gauge,FuelLevelWarning:Standard,FuelLevelWarningType:Light,UnderseatStorage:Standard,LockableStorage:Standard,StorageCover:Optional,HalogenHeadlights:Standard,Headlights:Standard,Type:Halogen,RearviewMirrors:Standard,Windshield:Standard,WindshieldLowers:No,HeightAdjustable:No,Tinted:No,Height:Low,AdjustableLevers:Standard,Paint:Standard,Steering:Standard,SteeringControl:Handlebar,ToolBagMount:Standard,WindshieldMounts:Standard,LengthFt:669,LengthFtft:6,LengthFtin:83,PaintSwatchFileName:YamahaTeamYamahaBlue-MatteSilvergif"
"3291 Cherry Ave",[],0,ZG1400EFFL,KAWASAKI,TOURING,"Long Beach",MOTORCYCLE,USED,[],0,[],0,0,KAWASAKI,54187,"CONCOURS 14","$11,999",$0,0,CA,UP00104-1,5d8d4d9886283d41e256657c,JKBZGNE17FA000104,0,2015,90807,GAS,+14244021934,,,,,,,,,,,,,,,,,,,,,,,
"3291 Cherry Ave",[],0,60LA,SEA-DOO,STANDARD,"Long Beach",WATERCRAFT,USED,[],0,[],0,0,SEA-DOO,56,"SPARK 2UP 900HO","$5,999",$0,0,CA,UP45926,5e5075a286283d02f47aa0bc,YDV45926B020,0,2020,90807,GAS,+14244021934,,,,,,,,,,,,,,,,,,,,,,,
"3291 Cherry Ave",[],0,"Z125 PRO",KAWASAKI,"MINI / POCKET BIKE","Long Beach",SCOOTER,USED,[],0,[],0,0,KAWASAKI,651,"Z125 PRO","$3,499",$0,0,CA,UP17366,5f13acc986283d7c2d69aa34,JKABRRJ19LDA17366,0,2020,90807,GAS,+14244021934,,,,,,,,,,,,,,,,,,,,,,,[]
"3291 Cherry Ave",[],0,TTR125LEM,YAMAHA,YOUTH,"Long Beach","DIRT BIKE",USED,[],0,[],0,0,YAMAHA,0,TT-R125LE,"$2,499",$0,0,CA,UP06182,60807b1f9f7a850bca40d7e9,9C6CE2235M0006182,0,2021,90807,Gas,+14244021934,,,,,,,,,,,,,,,,,,,,,,,"Engine:Standard,EngineType:Single-Cylinder,Cylinders:1,EngineStroke:4-Stroke,Cooling:Air,Valves:2,ValvesPerCylinder:2,ValveConfiguration:SOHC,BoreMm:54,BoreIn:213,StrokeMm:54,StrokeIn:213,DisplacementCc:124,DisplacementCi:76,CompressionRatio:1001,Starter:Electric,FuelRequirements:Regular,FuelType:Gas,Turbocharged:No,Supercharged:No,Carburetion:Standard,CarburetionBrand:Mikuni,FuelInjector:No,Carburetor:Yes,NumberOfCarburetors:1,CarburetorSizeMm:20,CarburetionType:Carburetor,Transmission:Standard,TransmissionType:Manual,NumberOfSpeeds:5,PrimaryDriveRearWheel:Chain,Reverse:No,Dimensions:Standard,LengthIn:742,LengthMm:18847,WidthIn:313,WidthMm:795,HeightIn:427,HeightMm:10846,WheelbaseIn:50,WheelbaseMm:1270,GroundClearanceIn:104,GroundClearanceMm:2642,LengthFt:618,LengthFtft:6,LengthFtin:22,Weight:Standard,WetWeightLbs:198,WetWeightKg:898,Capacities:Standard,FuelCapacityGal:16,FuelCapacityL:61,Performance:Standard,EngineDisplacementToWeightCc:063,Construction:Standard,Frame:Steel,BodyMaterial:Plastic,HandGrips:Standard,FootPegs:Standard,FootPegLocation:Driver,ExteriorGuards:Standard,ChainGuard:Yes,DriveShaftGuard:No,ForkGuards:Yes,SaddleBagGuard:No,TankGuard:No,BeltGuard:No,HandGuards:No,BrushGuard:No,HeelGuards:Yes,ExhaustGuard:Yes,LightGuard:No,ExteriorCovers:Standard,RadiatorCover:No,FrontFender:Standard,RearFender:Standard,TopCrown:Standard,Stand:Standard,StandType:Kick,Handlebars:Standard,SkidPlate:Standard,FrontSuspension:Standard,FrontSuspensionType:Telescopic Fork,FrontSuspensionSizeIn:12,FrontSuspensionSizeMm:31,FrontTravelIn:71,FrontTravelMm:1803,FrontAdjustableForkPre-Load:Yes,FrontAdjustableReboundDamping:No,FrontCentralSuspensionStrut:No,SteeringDamper:No,RearSuspension:Standard,RearSuspensionType:Twin Sided Swing Arm,RearTravelIn:66,RearTravelMm:1676,RearAdjustableShockSpringPre-Load:No,RearAdjustableReboundDamping:Yes,NumberRearShockAbsorbers:1,RearSuspensionMaterial:Aluminum,AirAdjustable:No,Wheels:Standard,WheelsComposition:Aluminum,TubeTubeless:Tubed,Tires:Standard,FrontTireWidth:70,FrontTireAspectRatio:100,FrontTireSpeedRating:M,FrontWheelDiameter:19,RearTireWidth:90,RearTireAspectRatio:100,RearTireSpeedRating:M,RearWheelDiameter:16,FrontTireFullSpec:70100 R19 ,RearTireFullSpec:90100 R16 ,Brakes:Standard,FrontBrakeType:Hydraulic Disc,FrontBrakeDiameterIn:87,FrontBrakeDiameterMm:220,RearBrakeType:Drum,RearBrakeDiameterIn:43,RearBrakeDiameterMm:110,Seat:Standard,SeatType:One-Piece,Adjustable:No,SeatMaterial:Vinyl,SeatLocation:Driver,Folding:No,SeatSpecifications:Standard,SeatHeightIn:317,SeatHeightMm:8052,NumberOfSeats:1,Steering:Standard,SteeringControl:Handlebar,PreviousModelYearAccessories:Yes,DigitalInstrumentation:Optional,Tachometer:Optional,PhotoGallery:Standard,RepresentativeImage:No"
"3291 Cherry Ave",[],0,"SPEED TRIPLE 1200 RS",TRIUMPH,SPORTBIKE,"Long Beach",MOTORCYCLE,NEW,[],0,[],0,0,TRIUMPH,3,"SPEED TRIPLE 1200 RS","$18,500","$18,500",133,CA,TRG5804,60bae1e6ce477f6d674f2e78,SMTP01ST9NTAG5804,0,2022,90807,GAS,+14244021934,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2022/TRIUMPH/SPEED%20TRIPLE%20RS/SMTP01ST9NTAG5804/1635359367.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2022/TRIUMPH/SPEED%20TRIPLE%20RS/SMTP01ST9NTAG5804/1635359383.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2022/TRIUMPH/SPEED%20TRIPLE%20RS/SMTP01ST9NTAG5804/1635359396.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2022/TRIUMPH/SPEED%20TRIPLE%20RS/SMTP01ST9NTAG5804/1635359408.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2022/TRIUMPH/SPEED%20TRIPLE%20RS/SMTP01ST9NTAG5804/1635359427.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2022/TRIUMPH/SPEED%20TRIPLE%20RS/SMTP01ST9NTAG5804/1635359441.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2022/TRIUMPH/SPEED%20TRIPLE%20RS/SMTP01ST9NTAG5804/1635359461.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2022/TRIUMPH/SPEED%20TRIPLE%20RS/SMTP01ST9NTAG5804/1635359472.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2022/TRIUMPH/SPEED%20TRIPLE%20RS/SMTP01ST9NTAG5804/1635359483.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2022/TRIUMPH/SPEED%20TRIPLE%20RS/SMTP01ST9NTAG5804/1635359492.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2022/TRIUMPH/SPEED%20TRIPLE%20RS/SMTP01ST9NTAG5804/1635359503.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2022/TRIUMPH/SPEED%20TRIPLE%20RS/SMTP01ST9NTAG5804/1635359514.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2022/TRIUMPH/SPEED%20TRIPLE%20RS/SMTP01ST9NTAG5804/1635359528.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2022/TRIUMPH/SPEED%20TRIPLE%20RS/SMTP01ST9NTAG5804/1635359538.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2022/TRIUMPH/SPEED%20TRIPLE%20RS/SMTP01ST9NTAG5804/1635359553.jpg,https://cdnmedia.endeavorsuite.com/images/ThumbGenerator/Thumb.aspx?img=http%3a%2f%2fcdnmedia.endeavorsuite.com%2fimages%2fcatalogs%2f21236%2fproducts%2fdetail%2fb968e4cf-ae66-4c18-9715-b81702ff590b.jpg&mw=1000&mh=533&f=1,https://cdnmedia.endeavorsuite.com/images/ThumbGenerator/Thumb.aspx?img=http%3a%2f%2fcdnmedia.endeavorsuite.com%2fimages%2fcatalogs%2f21236%2fproducts%2fdetail%2f882effd0-40a2-4360-a4d6-9630bf1051e0.jpg&mw=1000&mh=533&f=1,https://cdnmedia.endeavorsuite.com/images/ThumbGenerator/Thumb.aspx?img=http%3a%2f%2fcdnmedia.endeavorsuite.com%2fimages%2fcatalogs%2f21236%2fproducts%2fdetail%2fbe0f1616-541d-430c-887f-cd202421fe73.jpg&mw=1000&mh=533&f=1,https://cdnmedia.endeavorsuite.com/images/ThumbGenerator/Thumb.aspx?img=http%3a%2f%2fcdnmedia.endeavorsuite.com%2fimages%2fcatalogs%2f21236%2fproducts%2fdetail%2f3d2dbc1b-7758-4dc7-bb21-e969cf8a0671.jpg&mw=1000&mh=533&f=1,https://cdnmedia.endeavorsuite.com/images/ThumbGenerator/Thumb.aspx?img=http%3a%2f%2fcdnmedia.endeavorsuite.com%2fimages%2fcatalogs%2f21236%2fproducts%2fdetail%2f00ea9420-14a0-470d-bc04-40d73e7709c0.jpg&mw=1000&mh=533&f=1,,,"EngineType:Liquid-cooled 12 valve DOHC inline 3-cylinder,Capacity:1160 cc,BoreXStroke:900 x 608,Compression:132 to 1,MaxPowerEc:180 PS 1775 bhp (1324 kW) 10750 rpm,MaxTorqueEc:92 lbft 9000 rpm,System:Multipoint sequential electronic fuel injection with electronic throttle control,Exhaust:Stainless steel 3 into 1 header system with underslung primary silencer and side mounted secondary silencer,FinalDrive:X-ring chain,Clutch:Wet multi-plate slip and assist,Gearbox:6-speed"
"3291 Cherry Ave",[],0,A150,KAYO,RECREATION,"Long Beach",ATV,NEW,[],0,[],0,0,KAYO,0,"STORM 150","$2,799","$1,999",9,CA,KO01416,60d5404673b7627121022863,L6JAGKLC7M1001416,0,2021,90807,GAS,+14244021934,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/L6JAGKLC7M1001416/8b04a0fc018dc1e49488d12d32cf6b88.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2021/KAYO/STORM%20150/L6JAGKLC7M1001416/1625858003.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2021/KAYO/STORM%20150/L6JAGKLC7M1001416/1625858026.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2021/KAYO/STORM%20150/L6JAGKLC7M1001416/1625858048.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2021/KAYO/STORM%20150/L6JAGKLC7M1001416/1625858074.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2021/KAYO/STORM%20150/L6JAGKLC7M1001416/1625858085.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2021/KAYO/STORM%20150/L6JAGKLC7M1001416/1625858116.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2021/KAYO/STORM%20150/L6JAGKLC7M1001416/1625858155.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2021/KAYO/STORM%20150/L6JAGKLC7M1001416/1625858181.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2021/KAYO/STORM%20150/L6JAGKLC7M1001416/1625858197.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2021/KAYO/STORM%20150/L6JAGKLC7M1001416/1625858206.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2021/KAYO/STORM%20150/L6JAGKLC7M1001416/1625858260.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2021/KAYO/STORM%20150/L6JAGKLC7M1001416/1625858274.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2021/KAYO/STORM%20150/L6JAGKLC7M1001416/1625858284.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2021/KAYO/STORM%20150/L6JAGKLC7M1001416/1625858295.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2021/KAYO/STORM%20150/L6JAGKLC7M1001416/1625858302.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/showroom/2021/Kayo/Storm%20150/Base/bbf7502f3915d97bfd58e17c34d34960.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/showroom/2021/Kayo/Storm%20150/Base/e6b7755b8dcefb193e23e5a2d2d8a3d4.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/showroom/2021/Kayo/Storm%20150/Base/0a602be899ae3074482aff0380d351e0.jpg,,,,"EngineType:SOHC 4-stroke,Displacement:140 cc,Ignition:Electric,Cooling:Air amp remote oil cooled,Transmission:Semi-auto 3-spd wreverse,FinalDrive:Chain,FrontSuspension:Double A-arm,RearSuspension:Single shock - non adjustable,FrontBrakes:Hydraulic dual disc,RearBrakes:Hydraulic disc,FrontTires:20 x 7 - 10 inches,RearTires:19 x 10 - 9 inches,OverallSizeLxwxh:606 x 379 x 386 inches,SeatHeight:293 inches,Wheelbase:393 inches,GroundClearance:51 inches,FuelCapacity:18 gallons,DryWeight:2689 lbs"
"3291 Cherry Ave",[],0,A200,KAYO,SPORT,"Long Beach",ATV,NEW,[],0,[],0,0,KAYO,0,"JACKAL 200","$3,699","$2,999",18,CA,KO01832,60d5405273b762712102287d,L6JACMLC0M1001832,0,2021,90807,GAS,+14244021934,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/L6JACMLC0M1001832/12bd52ef6e299eee0a92135c94c6b29f.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/stock/KAYO/A200/WHITE/83dcefb7.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/stock/KAYO/A200/WHITE/1ad5be0d.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/stock/KAYO/A200/WHITE/6dd28e9b.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/stock/KAYO/A200/WHITE/f3b61b38.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/stock/KAYO/A200/WHITE/84b12bae.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/stock/KAYO/A200/WHITE/1db87a14.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/stock/KAYO/A200/WHITE/6abf4a82.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/stock/KAYO/A200/WHITE/fa005713.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/stock/KAYO/A200/WHITE/8d076785.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/stock/KAYO/A200/WHITE/a15d25e1.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/stock/KAYO/A200/WHITE/d65a1577.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/stock/KAYO/A200/WHITE/4f5344cd.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/stock/KAYO/A200/WHITE/3854745b.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/stock/KAYO/A200/WHITE/a630e1f8.jpg,,,,,,,,"EngineType:SOHC 4-stroke,Displacement:199 cc,Ignition:Electric,Cooling:Air amp remote oil cooler,Transmission:Manual 4-spd wreverse,FinalDrive:Chain,FrontSuspension:Double A-arm,RearSuspension:Single shock - adjustable,FrontBrakes:Hydraulic dual disc,RearBrakes:Hydraulic disc,FrontTires:20 x 7 - 10 inches,RearTires:19 x 10 - 10 inches,OverallSizeLxwxh:65x 435 x 42 inches,SeatHeight:314 inches,Wheelbase:429 inches,GroundClearance:37 inches,FuelCapacity:16 gallons,DryWeight:3637 lbs"
"3291 Cherry Ave",[],0,RM-Z450L9,SUZUKI,"MOTO CROSS","Long Beach","DIRT BIKE",USED,[],0,[],0,0,SUZUKI,0,"RM-Z 450","$8,999","$6,499",0,CA,UPS00217-1,611dc118381a312b3a16fa36,JS1DZ11C9K2100217,0,2019,90807,GAS,+14244021934,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2019/SUZUKI/RM-Z%20450/JS1DZ11C9K2100217/1631147104.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2019/SUZUKI/RM-Z%20450/JS1DZ11C9K2100217/1631147121.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2019/SUZUKI/RM-Z%20450/JS1DZ11C9K2100217/1631147133.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2019/SUZUKI/RM-Z%20450/JS1DZ11C9K2100217/1631147157.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2019/SUZUKI/RM-Z%20450/JS1DZ11C9K2100217/1631147175.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2019/SUZUKI/RM-Z%20450/JS1DZ11C9K2100217/1631147187.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2019/SUZUKI/RM-Z%20450/JS1DZ11C9K2100217/1631147199.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2019/SUZUKI/RM-Z%20450/JS1DZ11C9K2100217/1631147216.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2019/SUZUKI/RM-Z%20450/JS1DZ11C9K2100217/1631147227.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2019/SUZUKI/RM-Z%20450/JS1DZ11C9K2100217/1631147241.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2019/SUZUKI/RM-Z%20450/JS1DZ11C9K2100217/1631147254.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2019/SUZUKI/RM-Z%20450/JS1DZ11C9K2100217/1631147269.jpg,https://psx-photos.s3.us-west-2.amazonaws.com/delamomotorsportsoflongbeach/2019/SUZUKI/RM-Z%20450/JS1DZ11C9K2100217/1631147285.jpg,,,,,,,,,,[]
