web-scraper-order,web-scraper-start-url,link,link-href,Stock,year,make,model,style,cylinder,transmission,engine,drive train,Fuel Type,vin,mileage,Color,Color 2,internet price,photo urls,Doors,Vehicle Type,description,trim,certified,condition,pagination,pagination-href,data
1660128036-34,https://www.xpressautosales.ca/used-cars/,,https://www.xpressautosales.ca/cars/used/2012-Chevrolet-Equinox-SUV-352560,SAM-02,2012,Chevrolet,Equinox,Body Style:SUV,-,Automatic,-,-,Gasoline,null,"169,000",Exterior Color:Beige,Interior Color:Black,"9,495","[{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-0ee4ab48819945e9120e6364fa74f74c.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-3233581aa779a236a9ee00a20ac52d21.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-af9edf034fc10c04393c5c45b049cad0.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-f0e1c6a297efd3ec42b54df2a9eaa5b8.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-4fe1b15be18326ba7ab8a2f1130e9811.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-a7ccfbb79c0bb13967ff7cf5f5a8baf1.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-8986007a8e8854ea8ff8316d04208f50.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-0d7e87b1aa4e77c58d0a85298fe3cf28.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-d2669421b67cd30a5507e52af8ba90ae.jpg""}]",4,SUV,"Description
                                                                THIS VEHICLE IS LOCATED AT:
 
2559 BARTON ST E, HAMILTON
L8E 2X2
CELL: 905-699-7377",null,null,null,,,"Make:Chevrolet
                                                            
                                                        
                                                        
                                                            
                                                                Model:Equinox
                                                            
                                                        
                                                        
                                                            
                                                                Year:2012
                                                            
                                                        
                                                        
                                                            
                                                                Body Style:SUV
                                                            
                                                        

                                                                                                                    
                                                                
                                                                    Odometer:169,000 Km
                                                                
                                                            
                                                        
                                                        
                                                            
                                                                Transmission:Automatic
                                                            
                                                        
                                                        
                                                            Engine:-
                                                            
                                                        
                                                        
                                                            
                                                                Engine Size:-
                                                            
                                                        
                                                        
                                                            
                                                                Driveline:-
                                                            
                                                        
                                                        
                                                            
                                                                Exterior Color:Beige
                                                            
                                                        
                                                        
                                                            
                                                                Interior Color:Black
                                                            
                                                        
                                                        
                                                            Doors:4 doors
                                                            
                                                        
                                                        
                                                            
                                                                Passengers:-
                                                            
                                                        
                                                        
                                                            
                                                                Fuel Type:Gasoline
                                                            
                                                        
                                                                                                                                                                                    
                                                                    
                                                                        City Fuel:-
                                                                    
                                                                
                                                                
                                                                    
                                                                        Hwy Fuel:-
                                                                    
                                                                
                                                                                                                    
                                                        
                                                            
                                                                Stock Number:SAM-02"
1660127919-1,https://www.xpressautosales.ca/used-cars/,,https://www.xpressautosales.ca/cars/used/2010-Dodge-Grand-Caravan-Van-Minivan-291384,2018758,2010,Dodge,Grand Caravan,Body Style:Van-Minivan,6 Cylinder,Automatic,6 Cylinder,FWD,Gasoline,null,"210,000",Exterior Color:White,Interior Color:-,"5,995","[{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/01/thumb-3bf39e54292e4b3b3b51919a6cde6ce0.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/01/thumb-896392e4aa36fff3ed22edcd7b7b7ae3.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/01/thumb-6c4a0aa85c5e8873e420868bdd530b64.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/01/thumb-42d8747ef14f95d930c2e6799b224f54.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/01/thumb-62be901b438cc1ad75484cecfa522929.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/01/thumb-1f0e2d028ceee9da7ffac3d19b9dbdf9.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/01/thumb-28b623d248b5206866760e8cca723744.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/01/thumb-3dd70b8169c26d9e0317de719c1598f9.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/01/thumb-886b4e5b56069793104506e52d0ff918.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/01/thumb-cc4ba24b3792d4a42e4125fbad2666eb.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/01/thumb-7d8bde210cb8b3dac02fccdd6cdc1ee2.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/01/thumb-4045b7030a8e4a0a89961dba8460c2f6.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/01/thumb-e69bdffd89a65df2443fc8a05af314ee.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/01/thumb-66f49a502698072780a40ef1c4401ada.jpg""}]",4,Van-Minivan,"Description
                                                                EX BELL CANADA VAN, ROOF RACK, SHELVING",null,null,null,2,https://www.xpressautosales.ca/used-cars/?cpage=2,"Make:Dodge
                                                            
                                                        
                                                        
                                                            
                                                                Model:Grand Caravan
                                                            
                                                        
                                                        
                                                            
                                                                Year:2010
                                                            
                                                        
                                                        
                                                            
                                                                Body Style:Van-Minivan
                                                            
                                                        

                                                                                                                    
                                                                
                                                                    Odometer:210,000 Km
                                                                
                                                            
                                                        
                                                        
                                                            
                                                                Transmission:Automatic
                                                            
                                                        
                                                        
                                                            Engine:6 Cylinder
                                                            
                                                        
                                                        
                                                            
                                                                Engine Size:3.3
                                                            
                                                        
                                                        
                                                            
                                                                Driveline:FWD
                                                            
                                                        
                                                        
                                                            
                                                                Exterior Color:White
                                                            
                                                        
                                                        
                                                            
                                                                Interior Color:-
                                                            
                                                        
                                                        
                                                            Doors:4 doors
                                                            
                                                        
                                                        
                                                            
                                                                Passengers:2
                                                            
                                                        
                                                        
                                                            
                                                                Fuel Type:Gasoline
                                                            
                                                        
                                                                                                                                                                                    
                                                                    
                                                                        City Fuel:12.3L/100Km
                                                                    
                                                                
                                                                
                                                                    
                                                                        Hwy Fuel:8.3L/100Km
                                                                    
                                                                
                                                                                                                    
                                                        
                                                            
                                                                Stock Number:2018758"
1660128029-32,https://www.xpressautosales.ca/used-cars/,,https://www.xpressautosales.ca/cars/used/2011-Ford-Transit-Connect-Van-Minivan-351287,21,2011,Ford,Transit Connect,Body Style:Van-Minivan,4 Cylinder,4 Speed Automatic,4 Cylinder,FWD,Gasoline,null,"194,000",Exterior Color:Blue,Interior Color:Dark Grey,"9,995","[{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-548e9db9a74262366bcdb92f1e8b7587.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-0458adc805bb753b58660cee09c32151.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-f6411f21554799d2ebd2fe5fa66fd444.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-9c45b94e5ab4cf343850ec1af7460d88.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-334f18d0781270d9b6caa0cdd66f206c.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-4d4c78c776e67989dbc37ce9aa8041a4.jpg""}]",4,Van-Minivan,"Description
                                                                CERTIFIED - A/C - CONTRACTOR SHELVING IN THE BACK - BACK AND SIDE GLASS WINDOWS - XLT - DIVIDERS - ROOF LADDER RACK - DETAILED AND READY TO GOO!!",null,null,null,,,"Make:Ford
                                                            
                                                        
                                                        
                                                            
                                                                Model:Transit Connect
                                                            
                                                        
                                                        
                                                            
                                                                Year:2011
                                                            
                                                        
                                                        
                                                            
                                                                Body Style:Van-Minivan
                                                            
                                                        

                                                                                                                    
                                                                
                                                                    Odometer:194,000 Km
                                                                
                                                            
                                                        
                                                        
                                                            
                                                                Transmission:4 Speed Automatic
                                                            
                                                        
                                                        
                                                            Engine:4 Cylinder
                                                            
                                                        
                                                        
                                                            
                                                                Engine Size:2.0
                                                            
                                                        
                                                        
                                                            
                                                                Driveline:FWD
                                                            
                                                        
                                                        
                                                            
                                                                Exterior Color:Blue
                                                            
                                                        
                                                        
                                                            
                                                                Interior Color:Dark Grey
                                                            
                                                        
                                                        
                                                            Doors:4 doors
                                                            
                                                        
                                                        
                                                            
                                                                Passengers:-
                                                            
                                                        
                                                        
                                                            
                                                                Fuel Type:Gasoline
                                                            
                                                        
                                                                                                                                                                                    
                                                                    
                                                                        City Fuel:10.1L/100Km
                                                                    
                                                                
                                                                
                                                                    
                                                                        Hwy Fuel:7.7L/100Km
                                                                    
                                                                
                                                                                                                    
                                                        
                                                            
                                                                Stock Number:21"
1660127983-18,https://www.xpressautosales.ca/used-cars/,,https://www.xpressautosales.ca/cars/used/2011-Mercedes-Benz-C-Class-Sedan-349108,KHAL,2011,Mercedes-Benz,C-Class,Body Style:Sedan,6 Cylinder,7 Speed Automatic,6 Cylinder,AWD,Gasoline,null,"176,600",Exterior Color:Black,Interior Color:Grey,"13,995","[{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-7ce9424bd228c436a37e11206e7b022d.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-bc2bf295a1a55efbb23af318d24447a4.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-5497277ed4fdb945761114b07bd49c02.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-64dbccbce4a063649c60ff41de8b6482.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-27e7be53a0f6889b66920ee557574eb7.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-1761a8944ff89f19cf0a2cbd12199ae4.jpg""}]",4,Sedan,"Description
                                                                JULY SPECIAL!!
LOCATED AT OUR NEW LOCATION:
2559 BARTON ST E 
HAMILTON, ON, L8E 2X2",null,null,null,,,"Make:Mercedes-Benz
                                                            
                                                        
                                                        
                                                            
                                                                Model:C-Class
                                                            
                                                        
                                                        
                                                            
                                                                Year:2011
                                                            
                                                        
                                                        
                                                            
                                                                Body Style:Sedan
                                                            
                                                        

                                                                                                                    
                                                                
                                                                    Odometer:176,600 Km
                                                                
                                                            
                                                        
                                                        
                                                            
                                                                Transmission:7 Speed Automatic
                                                            
                                                        
                                                        
                                                            Engine:6 Cylinder
                                                            
                                                        
                                                        
                                                            
                                                                Engine Size:3.5
                                                            
                                                        
                                                        
                                                            
                                                                Driveline:AWD
                                                            
                                                        
                                                        
                                                            
                                                                Exterior Color:Black
                                                            
                                                        
                                                        
                                                            
                                                                Interior Color:Grey
                                                            
                                                        
                                                        
                                                            Doors:4 doors
                                                            
                                                        
                                                        
                                                            
                                                                Passengers:-
                                                            
                                                        
                                                        
                                                            
                                                                Fuel Type:Gasoline
                                                            
                                                        
                                                                                                                                                                                    
                                                                    
                                                                        City Fuel:12.4L/100Km
                                                                    
                                                                
                                                                
                                                                    
                                                                        Hwy Fuel:8.2L/100Km
                                                                    
                                                                
                                                                                                                    
                                                        
                                                            
                                                                Stock Number:KHAL"
1660127946-8,https://www.xpressautosales.ca/used-cars/,,https://www.xpressautosales.ca/cars/used/2008-Ford-Ranger-Truck-Extended-Cab-339483,NW-0001,2008,Ford,Ranger,Body Style:Truck Extended Cab,6 Cylinder,Automatic,6 Cylinder,FWD,Gasoline,null,"245,000",Exterior Color:Black,Interior Color:-,"5,495","[{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/06/thumb-4be297b39b2fc9cb97a4d77235f3ddc1.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/06/thumb-b6a91114c3357042088f70c66b1207a7.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/06/thumb-bee14ca40776214dbc7683115889d9fb.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/06/thumb-ec5f189ccd9fca1721ef5c5471657727.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/06/thumb-59b05f44d994c5901aa1fcaabb5582b5.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/06/thumb-9e0560c6f94a97f3a8896f51112f5f96.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/06/thumb-1556f7ca14a0b7f27d6a0e2f8b41c5d4.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/06/thumb-45f62a6763dccbf95785fe8ac5c4d78d.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/06/thumb-ca75b964d9030f911ceecc5942421b39.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/06/thumb-a718852d4281fac71b2f06c03214cbb2.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/06/thumb-2ee7626c037ba7e757ea31b097c6241c.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/06/thumb-1b02bc1efceea0e2bfc0710eb781302f.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/06/thumb-74c9e2039dcc5d77409bd804f1a355b2.jpg""}]",2,Truck Extended Cab,"Description
                                                                AS-IS 
 
 
This vehicle is located at our 2nd location:
2559 Barton Street East
Hamilton, ON, L8E 2X2",null,null,null,2,https://www.xpressautosales.ca/used-cars/?cpage=2,"Make:Ford
                                                            
                                                        
                                                        
                                                            
                                                                Model:Ranger
                                                            
                                                        
                                                        
                                                            
                                                                Year:2008
                                                            
                                                        
                                                        
                                                            
                                                                Body Style:Truck Extended Cab
                                                            
                                                        

                                                                                                                    
                                                                
                                                                    Odometer:245,000 Km
                                                                
                                                            
                                                        
                                                        
                                                            
                                                                Transmission:Automatic
                                                            
                                                        
                                                        
                                                            Engine:6 Cylinder
                                                            
                                                        
                                                        
                                                            
                                                                Engine Size:4.0
                                                            
                                                        
                                                        
                                                            
                                                                Driveline:FWD
                                                            
                                                        
                                                        
                                                            
                                                                Exterior Color:Black
                                                            
                                                        
                                                        
                                                            
                                                                Interior Color:-
                                                            
                                                        
                                                        
                                                            Doors:2 doors
                                                            
                                                        
                                                        
                                                            
                                                                Passengers:-
                                                            
                                                        
                                                        
                                                            
                                                                Fuel Type:Gasoline
                                                            
                                                        
                                                                                                                                                                                    
                                                                    
                                                                        City Fuel:14.4L/100Km
                                                                    
                                                                
                                                                
                                                                    
                                                                        Hwy Fuel:10.9L/100Km
                                                                    
                                                                
                                                                                                                    
                                                        
                                                            
                                                                Stock Number:NW-0001"
1660127979-17,https://www.xpressautosales.ca/used-cars/,,https://www.xpressautosales.ca/cars/used/2014-Ford-Escape-SUV-349097,NW-0019,2014,Ford,Escape,Body Style:SUV,4 Cylinder,6 Speed Automatic,4 Cylinder,AWD,Gasoline,null,"211,000",Exterior Color:Grey,Interior Color:Black,"11,495","[{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-acbd40100dc58b4fd3766d0f55a4fc29.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-bfd3091728d8713d3a293ddf24d76718.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-94960ed458bfb0dd3e2f1321707a5dbd.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-d42e621bf2340bf1a76d676f22cee825.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-04c13ca7ae5e86f6bdb7030e1bb2ac17.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-56e0ad4a956d510a4a90001f422a1a84.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-c91c8e52976fae1021ba59563d03ca8d.jpg""},{""photo urls"":"""",""photo urls-src"":""https://autobunny-docs.s3.ca-central-1.amazonaws.com/1297/car/forsale/images/2022/07/thumb-277c402d30fcd077da389ee244157b30.jpg""}]",4,SUV,"Description
                                                                JULY SPECIAL!
 
LOCATED AT OUR NEW LOCATION: 
2559 BARTON ST E
HAMILTON, ON, L8E 2X2
CELL: 905-699-7377",null,null,null,,,"Make:Ford
                                                            
                                                        
                                                        
                                                            
                                                                Model:Escape
                                                            
                                                        
                                                        
                                                            
                                                                Year:2014
                                                            
                                                        
                                                        
                                                            
                                                                Body Style:SUV
                                                            
                                                        

                                                                                                                    
                                                                
                                                                    Odometer:211,000 Km
                                                                
                                                            
                                                        
                                                        
                                                            
                                                                Transmission:6 Speed Automatic
                                                            
                                                        
                                                        
                                                            Engine:4 Cylinder
                                                            
                                                        
                                                        
                                                            
                                                                Engine Size:1.6
                                                            
                                                        
                                                        
                                                            
                                                                Driveline:AWD
                                                            
                                                        
                                                        
                                                            
                                                                Exterior Color:Grey
                                                            
                                                        
                                                        
                                                            
                                                                Interior Color:Black
                                                            
                                                        
                                                        
                                                            Doors:4 doors
                                                            
                                                        
                                                        
                                                            
                                                                Passengers:-
                                                            
                                                        
                                                        
                                                            
                                                                Fuel Type:Gasoline
                                                            
                                                        
                                                                                                                                                                                    
                                                                    
                                                                        City Fuel:9.2L/100Km
                                                                    
                                                                
                                                                
                                                                    
                                                                        Hwy Fuel:6.6L/100Km
                                                                    
                                                                
                                                                                                                    
                                                        
                                                            
                                                                Stock Number:NW-0019"
