web-scraper-order,web-scraper-start-url,link,link-href,stock,year,make,model,style,cylinder,transmission,engine,drive train,fuel type,vin,mileage,color,color 2,internet price,photo urls,doors,Vehicle Type,description,trim,certified,condition,options
1655285866-15272,https://openroadinfiniti.ca/inventory,2020 Honda CR-V,https://openroadinfiniti.ca/used-cars/2020-honda-cr-v-lx/vh02675a,VH02675A,2020,Honda,CR-V,Sport Utility,,Automatic,190HP - 1L 4 Cylinder Engine,All Wheel Drive,150,2HKRW2H21LH219791,"96,391",Platinum White Pearl,null,"30,999",[],4-Door SUV,null,,null,,Used,"A/C
    
          
      Climate Control
    
          
      Multi-Zone A/C
    
          
      Entertainment System
    
          
      Smart Device Integration
    
          
      Adaptive Cruise Control
    
          
      Adjustable Steering Wheel
    
          
      Automatic Headlights
    
          
      Back-Up Camera
    
          
      Cruise Control
    
          
      Engine Immobilizer
    
          
      Intermittent Wipers
    
          
      Keyless Start
    
          
      Remote Engine Start
    
          
      Security System
    
          
      Telematics
    
          
      Floor Mats
    
          
      Keyless Entry
    
          
      Power Door Locks
    
          
      Vanity Mirror
    
          
      Heated Mirrors
    
          
      Power Mirror(s)
    
          
      Bluetooth Connection
    
          
      Power Windows
    
          
      Privacy Glass
    
          
      Rear Defrost
    
          
      ABS
    
          
      4-Wheel Disc Brakes
    
          
      Power Steering
    
          
      Tire Pressure Monitor
    
          
      Aluminum Wheels
    
          
      Tires - Front All-Season
    
          
      Tires - Rear All-Season
    
          
      Temporary Spare Tire
    
          
      All Wheel Drive
    
          
      A/T
    
          
      Passenger Air Bag Sensor
    
          
      Brake Assist
    
          
      Child Safety Locks
    
          
      Daytime Running Lights
    
          
      Lane Departure Warning
    
          
      Lane Keeping Assist
    
          
      Stability Control
    
          
      Traction Control
    
          
      Cloth Seats
    
          
      Heated Front Seat(s)
    
          
      Pass-Through Rear Seat
    
          
      Bucket Seats
    
          
      Rear Bench Seat
    
          
      Rear Spoiler
    
  Show More"
1655285702-15238,https://openroadinfiniti.ca/inventory,2019 Audi S5 Sportback,https://openroadinfiniti.ca/used-cars/2019-audi-s5-sportback-technik/m00175,M00175,2019,Audi S5,S5 Sportback,quattro Sportback,,Automatic,349HP - 3L V6 Cylinder Engine,All Wheel Drive,349 @ 5400,WAUC4CF50KA047335,"19,447",Glacier White Metallic,null,"59,499",[],4-Door Hatchback,null,,null,,Used,"A/C
    
          
      Climate Control
    
          
      Multi-Zone A/C
    
          
      Rear A/C
    
          
      Entertainment System
    
          
      Premium Sound System
    
          
      Satellite Radio
    
          
      Smart Device Integration
    
          
      Adjustable Steering Wheel
    
          
      Automatic Headlights
    
          
      Back-Up Camera
    
          
      Cargo Shade
    
          
      Cruise Control
    
          
      Engine Immobilizer
    
          
      Fog Lamps
    
          
      Heads-Up Display
    
          
      Intermittent Wipers
    
          
      Keyless Start
    
          
      Leather Steering Wheel
    
          
      Navigation System
    
          
      Power Liftgate
    
          
      Rain Sensing Wipers
    
          
      Rear Parking Aid
    
          
      Remote Trunk Release
    
          
      Security System
    
          
      Telematics
    
          
      Garage Door Opener
    
          
      Floor Mats
    
          
      Keyless Entry
    
          
      Power Door Locks
    
          
      Auto-Dimming Rearview Mirror
    
          
      Vanity Mirror
    
          
      Heated Mirrors
    
          
      Mirror Memory
    
          
      Power Folding Mirrors
    
          
      Power Mirror(s)
    
          
      Bluetooth Connection
    
          
      Power Windows
    
          
      Rear Defrost
    
          
      ABS
    
          
      4-Wheel Disc Brakes
    
          
      Power Steering
    
          
      Tire Pressure Monitor
    
          
      Aluminum Wheels
    
          
      Sun/Moonroof
    
          
      Tires - Front Performance
    
          
      Tires - Rear Performance
    
          
      Temporary Spare Tire
    
          
      All Wheel Drive
    
          
      Transmission w/Dual Shift Mode
    
          
      8-Speed A/T
    
          
      A/T
    
          
      Driver Air Bag
    
          
      Knee Air Bag
    
          
      Passenger Air Bag
    
          
      Passenger Air Bag Sensor
    
          
      Front Head Air Bag
    
          
      Front Side Air Bag
    
          
      Rear Head Air Bag
    
          
      Blind Spot Monitor
    
          
      Brake Assist
    
          
      Child Safety Locks
    
          
      Daytime Running Lights
    
          
      Headlights-Auto-Leveling
    
          
      Integrated Turn Signal Mirrors
    
          
      Stability Control
    
          
      Traction Control
    
          
      Premium Synthetic Seats
    
          
      Heated Front Seat(s)
    
          
      Pass-Through Rear Seat
    
          
      Power Driver Seat
    
          
      Power Passenger Seat
    
          
      Seat Memory
    
          
      Massaging Seats
    
          
      Bucket Seats
    
          
      Rear Bench Seat
    
          
      Rear Spoiler
    
  Show More"
1655285755-15249,https://openroadinfiniti.ca/inventory,2021 Land Rover Range Rover Evoque,https://openroadinfiniti.ca/used-cars/2021-land-rover-range-rover-evoque-se/ev3818,EV3818,2021,Land Rover Range Rover,Rover Range Rover Evoque,Sport Utility,,Automatic,247HP - 2L 4 Cylinder Engine,All Wheel Drive,3968,SALZP2FX9MH153818,"12,896",Carpathian Grey Premium Metallic,null,"60,671",[],4-Door SUV,null,,null,,Used,"A/C
    
          
      Climate Control
    
          
      Multi-Zone A/C
    
          
      Entertainment System
    
          
      HD Radio
    
          
      Premium Sound System
    
          
      Satellite Radio
    
          
      Smart Device Integration
    
          
      Adjustable Steering Wheel
    
          
      Automatic Headlights
    
          
      Back-Up Camera
    
          
      Cargo Shade
    
          
      Cruise Control
    
          
      Engine Immobilizer
    
          
      Fog Lamps
    
          
      Heated Steering Wheel
    
          
      Intermittent Wipers
    
          
      Keyless Start
    
          
      Leather Steering Wheel
    
          
      Navigation System
    
          
      Rain Sensing Wipers
    
          
      Rear Parking Aid
    
          
      Remote Engine Start
    
          
      Security System
    
          
      Telematics
    
          
      Floor Mats
    
          
      Keyless Entry
    
          
      Power Door Locks
    
          
      Auto-Dimming Rearview Mirror
    
          
      Vanity Mirror
    
          
      Heated Mirrors
    
          
      Power Folding Mirrors
    
          
      Power Mirror(s)
    
          
      Bluetooth Connection
    
          
      Power Windows
    
          
      Privacy Glass
    
          
      Rear Defrost
    
          
      ABS
    
          
      4-Wheel Disc Brakes
    
          
      Power Steering
    
          
      Tire Pressure Monitor
    
          
      Steel Wheels
    
          
      Sun/Moonroof
    
          
      Panoramic Roof
    
          
      Tires - Front Performance
    
          
      Tires - Rear Performance
    
          
      Temporary Spare Tire
    
          
      Brake Actuated Limited Slip Differential
    
          
      All Wheel Drive
    
          
      Transmission w/Dual Shift Mode
    
          
      9-Speed A/T
    
          
      A/T
    
          
      Driver Air Bag
    
          
      Passenger Air Bag
    
          
      Passenger Air Bag Sensor
    
          
      Front Head Air Bag
    
          
      Front Side Air Bag
    
          
      Rear Head Air Bag
    
          
      Brake Assist
    
          
      Child Safety Locks
    
          
      Daytime Running Lights
    
          
      Integrated Turn Signal Mirrors
    
          
      Lane Departure Warning
    
          
      Lane Keeping Assist
    
          
      Stability Control
    
          
      Traction Control
    
          
      Leather Seats
    
          
      Driver Adjustable Lumbar
    
          
      Heated Front Seat(s)
    
          
      Pass-Through Rear Seat
    
          
      Passenger Adjustable Lumbar
    
          
      Power Driver Seat
    
          
      Power Passenger Seat
    
          
      Bucket Seats
    
          
      Rear Bench Seat
    
          
      Rear Spoiler
    
  Show More"
1655285750-15248,https://openroadinfiniti.ca/inventory,2021 Land Rover Range Rover Evoque,https://openroadinfiniti.ca/used-cars/2021-land-rover-range-rover-evoque-r-dynamic-hse/ev2026,EV2026,2021,Land Rover Range Rover,Rover Range Rover Evoque,Sport Utility,,Automatic,247HP - 2L 4 Cylinder Engine,All Wheel Drive,3968,SALZM2FX3MH152026,"6,137",Santorini Black Metallic,null,"65,970",[],4-Door SUV,null,,null,,Used,"A/C
    
          
      Climate Control
    
          
      Multi-Zone A/C
    
          
      Entertainment System
    
          
      HD Radio
    
          
      Premium Sound System
    
          
      Satellite Radio
    
          
      Smart Device Integration
    
          
      Adaptive Cruise Control
    
          
      Adjustable Steering Wheel
    
          
      Automatic Headlights
    
          
      Back-Up Camera
    
          
      Cargo Shade
    
          
      Cruise Control
    
          
      Engine Immobilizer
    
          
      Hands-Free Liftgate
    
          
      Heated Steering Wheel
    
          
      Intermittent Wipers
    
          
      Keyless Start
    
          
      Leather Steering Wheel
    
          
      Navigation System
    
          
      Power Liftgate
    
          
      Rain Sensing Wipers
    
          
      Rear Parking Aid
    
          
      Remote Engine Start
    
          
      Remote Trunk Release
    
          
      Security System
    
          
      Telematics
    
          
      Garage Door Opener
    
          
      Floor Mats
    
          
      Keyless Entry
    
          
      Power Door Locks
    
          
      Auto-Dimming Rearview Mirror
    
          
      Vanity Mirror
    
          
      Heated Mirrors
    
          
      Mirror Memory
    
          
      Power Folding Mirrors
    
          
      Power Mirror(s)
    
          
      Bluetooth Connection
    
          
      Power Windows
    
          
      Privacy Glass
    
          
      Rear Defrost
    
          
      ABS
    
          
      4-Wheel Disc Brakes
    
          
      Power Steering
    
          
      Tire Pressure Monitor
    
          
      Aluminum Wheels
    
          
      Sun/Moonroof
    
          
      Panoramic Roof
    
          
      Tires - Front Performance
    
          
      Tires - Rear Performance
    
          
      Temporary Spare Tire
    
          
      Brake Actuated Limited Slip Differential
    
          
      All Wheel Drive
    
          
      Transmission w/Dual Shift Mode
    
          
      9-Speed A/T
    
          
      A/T
    
          
      Passenger Air Bag Sensor
    
          
      Blind Spot Monitor
    
          
      Brake Assist
    
          
      Child Safety Locks
    
          
      Cross-Traffic Alert
    
          
      Daytime Running Lights
    
          
      Headlights-Auto-Leveling
    
          
      Integrated Turn Signal Mirrors
    
          
      Lane Departure Warning
    
          
      Lane Keeping Assist
    
          
      Stability Control
    
          
      Traction Control
    
          
      Leather Seats
    
          
      Cooled Front Seat(s)
    
          
      Driver Adjustable Lumbar
    
          
      Heated Front Seat(s)
    
          
      Heated Rear Seat(s)
    
          
      Pass-Through Rear Seat
    
          
      Passenger Adjustable Lumbar
    
          
      Power Driver Seat
    
          
      Power Passenger Seat
    
          
      Seat Memory
    
          
      Bucket Seats
    
          
      Rear Bench Seat
    
          
      Rear Spoiler
    
  Show More"
1655285725-15243,https://openroadinfiniti.ca/inventory,2021 Land Rover Discovery Sport,https://openroadinfiniti.ca/used-cars/2021-land-rover-discovery-sport-r-dynamic-hse/ds9093,DS9093,2021,Land Rover Discovery,Rover Discovery Sport,Sport Utility,,Automatic,246HP - 2L 4 Cylinder Engine,Four Wheel Drive,4409,SALCM2FX2MH889093,"52,694",Santorini Black Metallic,null,"61,990",[],4-Door SUV,null,,null,,Used,"A/C
    
          
      Climate Control
    
          
      Multi-Zone A/C
    
          
      Entertainment System
    
          
      HD Radio
    
          
      Premium Sound System
    
          
      Satellite Radio
    
          
      Smart Device Integration
    
          
      Adaptive Cruise Control
    
          
      Adjustable Steering Wheel
    
          
      Automatic Headlights
    
          
      Back-Up Camera
    
          
      Cargo Shade
    
          
      Cruise Control
    
          
      Engine Immobilizer
    
          
      Heads-Up Display
    
          
      Heated Steering Wheel
    
          
      Intermittent Wipers
    
          
      Keyless Start
    
          
      Leather Steering Wheel
    
          
      Navigation System
    
          
      Power Liftgate
    
          
      Rain Sensing Wipers
    
          
      Rear Parking Aid
    
          
      Remote Engine Start
    
          
      Remote Trunk Release
    
          
      Security System
    
          
      Telematics
    
          
      Garage Door Opener
    
          
      Floor Mats
    
          
      Keyless Entry
    
          
      Power Door Locks
    
          
      Auto-Dimming Rearview Mirror
    
          
      Vanity Mirror
    
          
      Heated Mirrors
    
          
      Power Folding Mirrors
    
          
      Power Mirror(s)
    
          
      Bluetooth Connection
    
          
      Power Windows
    
          
      Privacy Glass
    
          
      Rear Defrost
    
          
      ABS
    
          
      4-Wheel Disc Brakes
    
          
      Power Steering
    
          
      Active Suspension
    
          
      Tire Pressure Monitor
    
          
      Tow Hitch
    
          
      Steel Wheels
    
          
      Sun/Moonroof
    
          
      Panoramic Roof
    
          
      Tires - Front Performance
    
          
      Tires - Rear Performance
    
          
      Temporary Spare Tire
    
          
      Four Wheel Drive
    
          
      Transmission w/Dual Shift Mode
    
          
      9-Speed A/T
    
          
      A/T
    
          
      Knee Air Bag
    
          
      Passenger Air Bag Sensor
    
          
      Blind Spot Monitor
    
          
      Brake Assist
    
          
      Child Safety Locks
    
          
      Cross-Traffic Alert
    
          
      Daytime Running Lights
    
          
      Headlights-Auto-Leveling
    
          
      Integrated Turn Signal Mirrors
    
          
      Lane Departure Warning
    
          
      Lane Keeping Assist
    
          
      Stability Control
    
          
      Traction Control
    
          
      Premium Synthetic Seats
    
          
      Cooled Front Seat(s)
    
          
      Driver Adjustable Lumbar
    
          
      Heated Front Seat(s)
    
          
      Pass-Through Rear Seat
    
          
      Passenger Adjustable Lumbar
    
          
      Power Driver Seat
    
          
      Power Passenger Seat
    
          
      Seat Memory
    
          
      Bucket Seats
    
          
      Rear Bench Seat
    
          
      Rear Spoiler
    
  Show More"
1655285822-15263,https://openroadinfiniti.ca/inventory,2020 Audi Q5,https://openroadinfiniti.ca/used-cars/2020-audi-q5-progressiv/b12889a,B12889A,2020,Audi,Q5,quattro Sport Utility,,Automatic,248HP - 2L 4 Cylinder Engine,All Wheel Drive,Gasoline Direct Injection,WA1BNAFY5L2065961,"36,537",Mythos Black Metallic,null,"50,995",[],4-Door SUV,null,,null,,Used,"A/C
    
          
      Climate Control
    
          
      Multi-Zone A/C
    
          
      Rear A/C
    
          
      Entertainment System
    
          
      Satellite Radio
    
          
      Smart Device Integration
    
          
      Adjustable Steering Wheel
    
          
      Automatic Headlights
    
          
      Back-Up Camera
    
          
      Cargo Shade
    
          
      Cruise Control
    
          
      Engine Immobilizer
    
          
      Fog Lamps
    
          
      Hands-Free Liftgate
    
          
      Heated Steering Wheel
    
          
      Intermittent Wipers
    
          
      Keyless Start
    
          
      Leather Steering Wheel
    
          
      Navigation System
    
          
      Power Liftgate
    
          
      Rain Sensing Wipers
    
          
      Rear Parking Aid
    
          
      Remote Trunk Release
    
          
      Security System
    
          
      Garage Door Opener
    
          
      Floor Mats
    
          
      Keyless Entry
    
          
      Power Door Locks
    
          
      Auto-Dimming Rearview Mirror
    
          
      Vanity Mirror
    
          
      Heated Mirrors
    
          
      Mirror Memory
    
          
      Power Folding Mirrors
    
          
      Power Mirror(s)
    
          
      Bluetooth Connection
    
          
      Power Windows
    
          
      Privacy Glass
    
          
      Rear Defrost
    
          
      ABS
    
          
      4-Wheel Disc Brakes
    
          
      Power Steering
    
          
      Tire Pressure Monitor
    
          
      Aluminum Wheels
    
          
      Sun/Moonroof
    
          
      Tires - Front Performance
    
          
      Tires - Rear Performance
    
          
      Temporary Spare Tire
    
          
      Brake Actuated Limited Slip Differential
    
          
      All Wheel Drive
    
          
      Transmission w/Dual Shift Mode
    
          
      7-Speed A/T
    
          
      A/T
    
          
      Passenger Air Bag Sensor
    
          
      Rear Head Air Bag
    
          
      Blind Spot Monitor
    
          
      Brake Assist
    
          
      Child Safety Locks
    
          
      Cross-Traffic Alert
    
          
      Daytime Running Lights
    
          
      Headlights-Auto-Leveling
    
          
      Integrated Turn Signal Mirrors
    
          
      Stability Control
    
          
      Traction Control
    
          
      Leather Seats
    
          
      Driver Adjustable Lumbar
    
          
      Heated Front Seat(s)
    
          
      Pass-Through Rear Seat
    
          
      Power Driver Seat
    
          
      Power Passenger Seat
    
          
      Seat Memory
    
          
      Bucket Seats
    
          
      Rear Bench Seat
    
          
      Rear Spoiler
    
  Show More"
1655285730-15244,https://openroadinfiniti.ca/inventory,2021 Land Rover Range Rover Velar,https://openroadinfiniti.ca/used-cars/2021-land-rover-range-rover-velar-r-dynamic-s/ve0904,VE0904,2021,Land Rover Range Rover,Rover Range Rover Velar,Sport Utility,,Automatic,335HP - 3L Straight 6 Cylinder Engine,Four Wheel Drive,"5291, 5512",SALYT2EU0MA310904,"13,012",Santorini Black Metallic,null,"82,058",[],4-Door SUV,null,,null,,Used,"A/C
    
          
      Climate Control
    
          
      Multi-Zone A/C
    
          
      Entertainment System
    
          
      HD Radio
    
          
      Premium Sound System
    
          
      Satellite Radio
    
          
      Smart Device Integration
    
          
      WiFi Hotspot
    
          
      Adjustable Steering Wheel
    
          
      Automatic Headlights
    
          
      Back-Up Camera
    
          
      Cargo Shade
    
          
      Cruise Control
    
          
      Engine Immobilizer
    
          
      Heated Steering Wheel
    
          
      Intermittent Wipers
    
          
      Keyless Start
    
          
      Leather Steering Wheel
    
          
      Navigation System
    
          
      Power Liftgate
    
          
      Rain Sensing Wipers
    
          
      Rear Parking Aid
    
          
      Remote Engine Start
    
          
      Remote Trunk Release
    
          
      Security System
    
          
      Telematics
    
          
      Garage Door Opener
    
          
      Floor Mats
    
          
      Keyless Entry
    
          
      Power Door Locks
    
          
      Auto-Dimming Rearview Mirror
    
          
      Vanity Mirror
    
          
      Heated Mirrors
    
          
      Mirror Memory
    
          
      Power Folding Mirrors
    
          
      Power Mirror(s)
    
          
      Bluetooth Connection
    
          
      Power Windows
    
          
      Privacy Glass
    
          
      Rear Defrost
    
          
      ABS
    
          
      4-Wheel Disc Brakes
    
          
      Power Steering
    
          
      Active Suspension
    
          
      Air Suspension
    
          
      Tire Pressure Monitor
    
          
      Aluminum Wheels
    
          
      Sun/Moonroof
    
          
      Tires - Front Performance
    
          
      Tires - Rear Performance
    
          
      Temporary Spare Tire
    
          
      Four Wheel Drive
    
          
      Transmission w/Dual Shift Mode
    
          
      8-Speed A/T
    
          
      A/T
    
          
      Driver Air Bag
    
          
      Passenger Air Bag
    
          
      Passenger Air Bag Sensor
    
          
      Front Head Air Bag
    
          
      Front Side Air Bag
    
          
      Rear Head Air Bag
    
          
      Blind Spot Monitor
    
          
      Brake Assist
    
          
      Child Safety Locks
    
          
      Cross-Traffic Alert
    
          
      Daytime Running Lights
    
          
      Headlights-Auto-Leveling
    
          
      Integrated Turn Signal Mirrors
    
          
      Lane Departure Warning
    
          
      Lane Keeping Assist
    
          
      Stability Control
    
          
      Traction Control
    
          
      Premium Synthetic Seats
    
          
      Driver Adjustable Lumbar
    
          
      Heated Front Seat(s)
    
          
      Pass-Through Rear Seat
    
          
      Passenger Adjustable Lumbar
    
          
      Power Driver Seat
    
          
      Power Passenger Seat
    
          
      Seat Memory
    
          
      Bucket Seats
    
          
      Rear Bench Seat
    
          
      Rear Spoiler
    
  Show More"
1655285817-15262,https://openroadinfiniti.ca/inventory,2018 MINI Countryman,https://openroadinfiniti.ca/used-cars/2018-mini-countryman-cooper-s/m00156,M00156,2018,MINI,Countryman,ALL4 Sport Utility,,Automatic,189HP - 2L 4 Cylinder Engine,All Wheel Drive,2.0 L/122,WMZYT5C30J3D82045,"67,036",MINI YOURS Lapisluxury Blue EXCLUSIVE,null,"30,500",[],4-Door SUV,null,,null,,Used,"A/C
    
          
      Climate Control
    
          
      Multi-Zone A/C
    
          
      Entertainment System
    
          
      Premium Sound System
    
          
      Smart Device Integration
    
          
      Adjustable Steering Wheel
    
          
      Automatic Headlights
    
          
      Automatic Parking
    
          
      Back-Up Camera
    
          
      Cargo Shade
    
          
      Cruise Control
    
          
      Engine Immobilizer
    
          
      Fog Lamps
    
          
      Hands-Free Liftgate
    
          
      Intermittent Wipers
    
          
      Keyless Start
    
          
      Leather Steering Wheel
    
          
      Navigation System
    
          
      Rain Sensing Wipers
    
          
      Rear Parking Aid
    
          
      Remote Trunk Release
    
          
      Floor Mats
    
          
      Keyless Entry
    
          
      Power Door Locks
    
          
      Auto-Dimming Rearview Mirror
    
          
      Vanity Mirror
    
          
      Heated Mirrors
    
          
      Mirror Memory
    
          
      Power Mirror(s)
    
          
      Bluetooth Connection
    
          
      Power Windows
    
          
      Rear Defrost
    
          
      ABS
    
          
      4-Wheel Disc Brakes
    
          
      Power Steering
    
          
      Tire Pressure Monitor
    
          
      Aluminum Wheels
    
          
      Sun/Moonroof
    
          
      Panoramic Roof
    
          
      Tires - Front Performance
    
          
      Tires - Rear Performance
    
          
      Brake Actuated Limited Slip Differential
    
          
      All Wheel Drive
    
          
      Transmission w/Dual Shift Mode
    
          
      8-Speed A/T
    
          
      A/T
    
          
      Driver Air Bag
    
          
      Knee Air Bag
    
          
      Passenger Air Bag
    
          
      Passenger Air Bag Sensor
    
          
      Front Head Air Bag
    
          
      Front Side Air Bag
    
          
      Rear Head Air Bag
    
          
      Brake Assist
    
          
      Daytime Running Lights
    
          
      Headlights-Auto-Leveling
    
          
      Stability Control
    
          
      Traction Control
    
          
      Premium Synthetic Seats
    
          
      Driver Adjustable Lumbar
    
          
      Heated Front Seat(s)
    
          
      Pass-Through Rear Seat
    
          
      Passenger Adjustable Lumbar
    
          
      Power Driver Seat
    
          
      Power Passenger Seat
    
          
      Seat Memory
    
          
      Bucket Seats
    
          
      Rear Bench Seat
    
  Show More"
1655285803-15259,https://openroadinfiniti.ca/inventory,2018 Volkswagen Tiguan,https://openroadinfiniti.ca/used-cars/2018-volkswagen-tiguan-comfortline/m00181,M00181,2018,Volkswagen,Tiguan,4MOTION,,Automatic,184HP - 2L 4 Cylinder Engine,All Wheel Drive,150,3VV2B7AX2JM106957,"51,802",Platinum Gray Metallic,null,"30,500",[],4-Door SUV,null,,null,,Used,"A/C
    
          
      Climate Control
    
          
      Multi-Zone A/C
    
          
      Entertainment System
    
          
      CD Player
    
          
      Satellite Radio
    
          
      Smart Device Integration
    
          
      Adjustable Steering Wheel
    
          
      Automatic Headlights
    
          
      Back-Up Camera
    
          
      Cargo Shade
    
          
      Cruise Control
    
          
      Engine Immobilizer
    
          
      Fog Lamps
    
          
      Intermittent Wipers
    
          
      Keyless Start
    
          
      Leather Steering Wheel
    
          
      Rain Sensing Wipers
    
          
      Security System
    
          
      Floor Mats
    
          
      Keyless Entry
    
          
      Power Door Locks
    
          
      Auto-Dimming Rearview Mirror
    
          
      Vanity Mirror
    
          
      Heated Mirrors
    
          
      Power Mirror(s)
    
          
      Bluetooth Connection
    
          
      Power Windows
    
          
      Privacy Glass
    
          
      Rear Defrost
    
          
      ABS
    
          
      4-Wheel Disc Brakes
    
          
      Power Steering
    
          
      Tire Pressure Monitor
    
          
      Aluminum Wheels
    
          
      Sun/Moonroof
    
          
      Panoramic Roof
    
          
      Tires - Front All-Season
    
          
      Tires - Rear All-Season
    
          
      Temporary Spare Tire
    
          
      All Wheel Drive
    
          
      Transmission w/Dual Shift Mode
    
          
      8-Speed A/T
    
          
      A/T
    
          
      Driver Air Bag
    
          
      Passenger Air Bag
    
          
      Passenger Air Bag Sensor
    
          
      Front Head Air Bag
    
          
      Front Side Air Bag
    
          
      Rear Head Air Bag
    
          
      Blind Spot Monitor
    
          
      Brake Assist
    
          
      Child Safety Locks
    
          
      Daytime Running Lights
    
          
      Integrated Turn Signal Mirrors
    
          
      Stability Control
    
          
      Traction Control
    
          
      Premium Synthetic Seats
    
          
      Driver Adjustable Lumbar
    
          
      Heated Front Seat(s)
    
          
      Pass-Through Rear Seat
    
          
      Power Driver Seat
    
          
      Bucket Seats
    
          
      Rear Bench Seat
    
          
      Rear Spoiler
    
  Show More"
1655285687-15235,https://openroadinfiniti.ca/inventory,2019 Lexus NX,https://openroadinfiniti.ca/used-cars/2019-lexus-nx-nx-300/p05008x,P05008X,2019,Lexus,NX,Sport Utility,,Automatic,235HP - 2L 4 Cylinder Engine,All Wheel Drive,200,JTJBARBZ6K2205008,"37,809",Atomic Silver,null,"42,999",[],4-Door SUV,null,,null,,Used,"A/C
    
          
      Climate Control
    
          
      Multi-Zone A/C
    
          
      Entertainment System
    
          
      CD Player
    
          
      HD Radio
    
          
      Satellite Radio
    
          
      Smart Device Integration
    
          
      Adaptive Cruise Control
    
          
      Adjustable Steering Wheel
    
          
      Automatic Headlights
    
          
      Back-Up Camera
    
          
      Cargo Shade
    
          
      Cruise Control
    
          
      Engine Immobilizer
    
          
      Fog Lamps
    
          
      Heated Steering Wheel
    
          
      Intermittent Wipers
    
          
      Keyless Start
    
          
      Leather Steering Wheel
    
          
      Power Liftgate
    
          
      Remote Trunk Release
    
          
      Security System
    
          
      Telematics
    
          
      Garage Door Opener
    
          
      Floor Mats
    
          
      Keyless Entry
    
          
      Power Door Locks
    
          
      Auto-Dimming Rearview Mirror
    
          
      Vanity Mirror
    
          
      Heated Mirrors
    
          
      Mirror Memory
    
          
      Power Mirror(s)
    
          
      Bluetooth Connection
    
          
      Power Windows
    
          
      Privacy Glass
    
          
      Rear Defrost
    
          
      ABS
    
          
      4-Wheel Disc Brakes
    
          
      Power Steering
    
          
      Tire Pressure Monitor
    
          
      Wheel Locks
    
          
      Steel Wheels
    
          
      Sun/Moonroof
    
          
      Tires - Front Performance
    
          
      Tires - Rear Performance
    
          
      Conventional Spare Tire
    
          
      Locking/Limited Slip Differential
    
          
      All Wheel Drive
    
          
      Transmission w/Dual Shift Mode
    
          
      6-Speed A/T
    
          
      A/T
    
          
      Driver Air Bag
    
          
      Knee Air Bag
    
          
      Passenger Air Bag
    
          
      Passenger Air Bag Sensor
    
          
      Front Head Air Bag
    
          
      Front Side Air Bag
    
          
      Rear Head Air Bag
    
          
      Blind Spot Monitor
    
          
      Brake Assist
    
          
      Child Safety Locks
    
          
      Cross-Traffic Alert
    
          
      Daytime Running Lights
    
          
      Integrated Turn Signal Mirrors
    
          
      Lane Departure Warning
    
          
      Lane Keeping Assist
    
          
      Stability Control
    
          
      Traction Control
    
          
      Premium Synthetic Seats
    
          
      Cooled Front Seat(s)
    
          
      Driver Adjustable Lumbar
    
          
      Heated Front Seat(s)
    
          
      Pass-Through Rear Seat
    
          
      Power Driver Seat
    
          
      Power Passenger Seat
    
          
      Seat Memory
    
          
      Bucket Seats
    
          
      Rear Bench Seat
    
          
      Rear Spoiler
    
  Show More"
