web-scraper-order,web-scraper-start-url,link,link-href,stock,year,make,model,style,cylinder,transmission,engine,drive train,fuel type,vin,mileage,color,color 2,internet price,photo urls,doors,Vehicle Type,description,trim,certified,data,condition,pagination,pagination-href,pagination2,pagination2-href,menu,menu-href
1654620311-14514,https://www.autodealxpress.com/inventory,2019 MERCEDES-BENZ GLE2019 MERCEDES-BENZ GLE,https://www.autodealxpress.com/inventory/mercedes-benz/gle/adc218274/,ADC218274,"Year
                                
                    2019","Make
                                
                    MERCEDES-BENZ","Model
                                
                    GLE",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    V6, TWIN TURBO, 3.0 LITER","Drivetrain
                                
                    AWD",null,"VIN
                                
                    4JGDA5GBXKB218274","Mileage
                                
                    44,547","Exterior Color
                                
                    BLACK","Interior Color
                                
                    BEIGE","$43,990","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202205-53424557e9734b7f8294282bd49d30f9.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-85d77360f3014c5fbf1390ef73ddc393.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-9e0270754ded493386d8e092667a17e0.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-862df89362564a488aefb146ed25936d.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-308e92d18f83455bb4f1688ea36b6d6c.jpg""}]",4,null,"The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress nor its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    GLE 400 4MATIC SPORT UTILITY 4D",,2019 MERCEDES-BENZ GLE,null,3,https://www.autodealxpress.com/inventory/?page_no=3,,,Inventory,https://www.autodealxpress.com/inventory/
1654620343-14517,https://www.autodealxpress.com/inventory,2019 FORD F250 SUPER DUTY CREW CAB2019 FORD F250 SUPER DUTY CREW CAB,https://www.autodealxpress.com/inventory/ford/f250-super-duty-crew-cab/2ade24391/,2ADE24391,"Year
                                
                    2019","Make
                                
                    FORD","Model
                                
                    F250 SUPER DUTY CREW CAB",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    V8, TURBO DIESEL, 6.7 LITER","Drivetrain
                                
                    4WD",null,"VIN
                                
                    1FT7W2BT3KEE24391","Mileage
                                
                    78,827","Exterior Color
                                
                    WHITE","Interior Color
                                
                    BLACK","$62,990","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202110-f0af2cfa7c92419d8c22f335d7bff487.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202110-8f07886049794b3ea04ff695af4897c9.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202110-8032ef49e8c449b0a754fe17272e7bbb.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202110-ebae8ec59f3f453292a460740b183696.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202202-a3f737c9ba4f4c0384659f04ef5d4da3.jpg""}]",4,null,"White 2019 Ford F-250SD Lariat 4D Crew Cab 4WD TorqShift 6-Speed Automatic Power Stroke 6.7L V8 DI 32V OHV Turbodiesel 4WD.


The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.

Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress or its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    LARIAT PICKUP 4D 6 3/4 FT",,2019 FORD F250 SUPER DUTY CREW CAB,null,3,https://www.autodealxpress.com/inventory/?page_no=3,,,Inventory,https://www.autodealxpress.com/inventory/
1654620456-14531,https://www.autodealxpress.com/inventory,2015 CHEVROLET SILVERADO 2500 HD DOUBLE CAB2015 CHEVROLET SILVERADO 2500 HD DOUBLE CAB,https://www.autodealxpress.com/inventory/chevrolet/silverado-2500-hd-double-cab/ad101199/,AD101199,"Year
                                
                    2015","Make
                                
                    CHEVROLET","Model
                                
                    SILVERADO 2500 HD DOUBLE CAB",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    V8, FF, 6.0L","Drivetrain
                                
                    2WD",null,"VIN
                                
                    1GC2CUEG2FZ101199","Mileage
                                
                    227,238","Exterior Color
                                
                    WHITE","Interior Color
                                
                    GRAY","$15,990","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202112-8006c27361ff44fbbb546585cb1094e5.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202112-71f0ef60ac59486eaec0af0d8a0f425a.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202112-fefcd8db88fd482d83d02f0e302dae43.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202112-173d9a4191d545f182a6404c9b1ee751.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202112-45baf105b5c5409dbaf5ac6e9c3019c3.jpg""}]",4,null,"Clean CARFAX.

Summit White 2015 Chevrolet Silverado 2500HD Work Truck 4D Double Cab RWD 6-Speed Automatic HD Electronic with Overdrive Vortec 6.0L V8 SFI Flex Fuel VVT 6-Speed Automatic HD Electronic with Overdrive, jet black dark ash Vinyl.


The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.

Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress or its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    WORK TRUCK PICKUP 4D 6 1/2 FT",,2015 CHEVROLET SILVERADO 2500 HD DOUBLE CAB,null,2,https://www.autodealxpress.com/inventory/?page_no=2,,,Inventory,https://www.autodealxpress.com/inventory/
1654620356-14519,https://www.autodealxpress.com/inventory,2019 LAND ROVER RANGE ROVER SPORT2019 LAND ROVER RANGE ROVER SPORT,https://www.autodealxpress.com/inventory/land-rover/range-rover-sport/ad832833/,AD832833,"Year
                                
                    2019","Make
                                
                    LAND ROVER","Model
                                
                    RANGE ROVER SPORT",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    V6, TURBO DIESEL, 3.0 LITER","Drivetrain
                                
                    AWD",null,"VIN
                                
                    SALWR2RK4KA832883","Mileage
                                
                    19,882","Exterior Color
                                
                    BLACK","Interior Color
                                
                    BEIGE","$71,990","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202204-3a6e9b9139054abfa4ed6bfd90ee597c.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202204-d62bc4e45d4f44668f181fc95f5e0dac.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202204-0f2e04ecace94746a1f62e6a323d1a46.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202204-1c4580c0833a489aa99b24ee74bd9070.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202204-81e676762bf64a7d998aa6dcc73490e4.jpg""}]",4,null,"New Inventory!

2019 Land Rover Range Rover Sport HSE, V6, Turbo Diesel. One owner, no accidents, personal use, low miles, in great condition. Non smoker. 
Comfortable and luxurious cabin, sporty handling and acceleration.


The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress nor its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    HSE SPORT UTILITY 4D",,2019 LAND ROVER RANGE ROVER SPORT,null,3,https://www.autodealxpress.com/inventory/?page_no=3,,,Inventory,https://www.autodealxpress.com/inventory/
1654620181-14500,https://www.autodealxpress.com/inventory,2013 SUBARU OUTBACK2013 SUBARU OUTBACK,https://www.autodealxpress.com/inventory/subaru/outback/ad287355/,AD287355,"Year
                                
                    2013","Make
                                
                    SUBARU","Model
                                
                    OUTBACK",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    4-CYL, PZEV, 2.5 LITER","Drivetrain
                                
                    AWD",null,"VIN
                                
                    4S4BRBCC0D3287355","Mileage
                                
                    92,593","Exterior Color
                                
                    RED","Interior Color
                                
                    BLACK","$10,990","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202108-9340d429904b4c83acd61af91c999044.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202108-da0011e4c32240b78b15641b678ebfbc.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202108-a55187c93aff4956a540b9400b484942.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202108-ffd1b61afd0a4875a31382b59e53d38a.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202108-c9a494d10f324cd89d19915d2eb20ca9.jpg""}]",4,null,"Venetian Red Pearl 2013 Subaru Outback 2.5i Premium 4D Sport Utility AWD CVT Lineartronic 2.5L 4-Cylinder DOHC 16V

24/30 City/Highway MPG Odometer is 33487 miles below market average!

Awards:
  * 2013 IIHS Top Safety Pick (built after August 2012)

Reviews:
  * Few vehicles on the market can equal the Subaru Outback’s ability to conquer tough terrain while simultaneously delivering carlike fuel economy. Safety buffs will appreciate its perfect crash test marks and the availability of the segment-exclusive EyeSight driver assistance system. Source: KBB.com
  * Spacious interior; comfortable ride; excellent visibility; generous cargo volume; clever roof rails; confident off-road ability. Source: Edmunds


The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.

Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress or its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    2.5I PREMIUM WAGON 4D",,2013 SUBARU OUTBACK,null,1,https://www.autodealxpress.com/inventory/?page_no=1,,,Inventory,https://www.autodealxpress.com/inventory/
1654620322-14515,https://www.autodealxpress.com/inventory,2019 JEEP GRAND CHEROKEE2019 JEEP GRAND CHEROKEE,https://www.autodealxpress.com/inventory/jeep/grand-cherokee/ad857469/,AD857469,"Year
                                
                    2019","Make
                                
                    JEEP","Model
                                
                    GRAND CHEROKEE",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    V6, VVT, 3.6 LITER","Drivetrain
                                
                    2WD",null,"VIN
                                
                    1C4RJEBGXKC857469","Mileage
                                
                    18,669","Exterior Color
                                
                    GRAY","Interior Color
                                
                    BLACK","$37,900","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202203-bf2321b38eaf4768b0ff764ddd61f47b.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202203-24d22618c2e94157bd2935e5cc255249.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202203-4a833d2f981e4401bc2e35491b3c196c.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202203-c568ff12adbc4b9f9006470988956a45.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202203-13f4c0d9abf74de7bc38c6bc159a806a.jpg""}]",4,null,"The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress nor its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    LIMITED SPORT UTILITY 4D",,2019 JEEP GRAND CHEROKEE,null,3,https://www.autodealxpress.com/inventory/?page_no=3,,,Inventory,https://www.autodealxpress.com/inventory/
1654620422-14527,https://www.autodealxpress.com/inventory,2016 DODGE CHARGER2016 DODGE CHARGER,https://www.autodealxpress.com/inventory/dodge/charger/ad233505/,AD233505,"Year
                                
                    2016","Make
                                
                    DODGE","Model
                                
                    CHARGER",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    V6, 3.6 LITER","Drivetrain
                                
                    RWD",null,"VIN
                                
                    2C3CDXAT2GH233505","Mileage
                                
                    79,702","Exterior Color
                                
                    -","Interior Color
                                
                    -","$18,250",[],4,null,"The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress nor its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    SE SEDAN 4D",,2016 DODGE CHARGER,null,2,https://www.autodealxpress.com/inventory/?page_no=2,,,Inventory,https://www.autodealxpress.com/inventory/
1654620242-14507,https://www.autodealxpress.com/inventory,2022 LAMBORGHINI URUS2022 LAMBORGHINI URUS,https://www.autodealxpress.com/inventory/lamborghini/urus/adla16366/,ADLA16366,"Year
                                
                    2022","Make
                                
                    LAMBORGHINI","Model
                                
                    URUS",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    V8, TWIN TURBO, 4.0 LITER","Drivetrain
                                
                    AWD",null,"VIN
                                
                    ZPBUA1ZLXNLA16366","Mileage
                                
                    754","Exterior Color
                                
                    ORANGE","Interior Color
                                
                    ORANGE/BLACK","$395,900","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202206-96fdf3719be2417381332399d0e105b9.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202206-25e8e9c06b6249f09176425c69bf0451.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202206-8ecc97244bd944efb28cae5f622db854.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202206-94f4e80a5a0f4bc0b56e1ce2704151ca.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202206-6dac14063e434eae9dd518a3342497d7.jpg""}]",4,null,"The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress nor its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    PEARL CAPSULE SPORT UTILITY 4D",,2022 LAMBORGHINI URUS,null,4,https://www.autodealxpress.com/inventory/?page_no=4,,,Inventory,https://www.autodealxpress.com/inventory/
1654620175-14499,https://www.autodealxpress.com/inventory,2013 BMW X32013 BMW X3,https://www.autodealxpress.com/inventory/bmw/x3/ada23978/,ADA23978,"Year
                                
                    2013","Make
                                
                    BMW","Model
                                
                    X3",null,,"Transmission
                                
                    AUTOMATIC","Engine
                                
                    4-CYL, TURBO, 2.0 LITER","Drivetrain
                                
                    AWD",null,"VIN
                                
                    5UXWX9C59D0A23978","Mileage
                                
                    66,272","Exterior Color
                                
                    WHITE","Interior Color
                                
                    BLACK","$15,490","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202205-688a30c2de3d44e2841e5bfdbe9a23e1.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-083ec3b1a1d94739b135b28af96e2dbc.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-e78b646c26be47f09ac9c5b0dfdcc50c.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-09ede4cb47404a55806656cc082d459c.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202205-96cc265bdb1449a2a5ebf859716eef7c.jpg""}]",4,null,"The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress nor its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    XDRIVE28I SPORT UTILITY 4D",,2013 BMW X3,null,1,https://www.autodealxpress.com/inventory/?page_no=1,,,Inventory,https://www.autodealxpress.com/inventory/
1654620289-14512,https://www.autodealxpress.com/inventory,2021 FORD BRONCO2021 FORD BRONCO,https://www.autodealxpress.com/inventory/ford/bronco/ada64552/,ADA64552,"Year
                                
                    2021","Make
                                
                    FORD","Model
                                
                    BRONCO",null,,"Transmission
                                
                    MANUAL","Engine
                                
                    4-CYL, ECOBOOST, TURBO, 2.3 LITER","Drivetrain
                                
                    4WD",null,"VIN
                                
                    1FMDE5CH3MLA64552","Mileage
                                
                    69","Exterior Color
                                
                    YELLOW","Interior Color
                                
                    BLACK","$58,990","[{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/201907-f4aa96d0568140dda36dd284e4206bc1/202203-39b0b74eaaa146a08e24f35f2978fbc6.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202203-b256ca88ad92429bb3cae25a33413ace.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202203-ccf3e587fc5d499490adf1675e0f3227.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202203-3afd78ff54ae4bef9d71b66914cabde2.jpg""},{""photo urls"":"""",""photo urls-src"":""https://imagescf.dealercenter.net/320/240/202203-1292990bef24471bbf63de889a472aa8.jpg""}]",2,null,"The price you see is the price you pay for the vehicle. No haggling. No back and forth. No pressure.Accessories and colors may vary. Quoted price subject to change without notice to correct errors or omissions. Sales tax or other taxes, tag, title, registration fees, government fees, tag agency, electronic filing fee, dealer service fees, and bank fees are not included in the advertised price. All information is gathered from sources that are believed to be reliable, but no assurance can be given that this information is complete and neither Auto Deal Xpress nor its suppliers assume any responsibility for errors or omissions or warrant the accuracy of this information.","Trim
                                
                    BADLANDS SPORT UTILITY 2D",,2021 FORD BRONCO,null,3,https://www.autodealxpress.com/inventory/?page_no=3,,,Inventory,https://www.autodealxpress.com/inventory/
