web-scraper-order,web-scraper-start-url,link,link-href,stock,year,make,model,style,cylinder,transmission,engine,drive train,fuel type,vin,mileage,color,color 2,internet price,photo urls,photo urls-src,doors,Vehicle Type,description,trim,certified,condition,options,menu,menu-href
"1655373890-15416","https://www.rpmotorsales.com/","","https://www.rpmotorsales.com/inventory/2017-chevrolet-silverado-2500hd-ltz/496495","984211220","2017","Chevrolet","Silverado","null","","6-Speed Shiftable Automatic","8cyl - 6.0L","4WD","Gas","1GC1KWEGXHF232220","122,016","null","null","35,900","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/PN%2FIU%2FYU%2F7T5OU5Q7IJDQBW.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/CY%2FNZ%2FDQ%2FGMSDHFXZ5OYE1L.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/ZQ%2F4M%2FBU%2FF8PEZAAM0KTGP3.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/WH%2FEY%2FHA%2F2VXJP4I97ATCIW.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/RC%2FZX%2F3C%2FCFNRPL1D3ZKULH.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/BK%2FJW%2FIW%2FNIVPBCPWS7SKSM.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/YR%2FBZ%2F3D%2FNHTAVDWQEGL1FD.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/ZE%2FQP%2F8R%2FAPBUJGRQKHF4JA.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/79%2FWZ%2FLH%2F7VFAL1VLHGLSWA.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/EY%2F7N%2FK7%2FHE7BOVCW1JKNM8.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/JK%2FUX%2FG2%2FEMMFFINKFD9PJX.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/ZX%2FTW%2FVD%2FXLVMH7MPVSD7RV.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/S7%2F3N%2FI1%2FBWSSXMKU1LL2NK.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/SP%2FJB%2F7M%2FAZK89QEWDCITKQ.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/YS%2FC4%2FEX%2FP9BJ2ATYAWIO3P.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/WG%2FGC%2FDW%2FDDFCQZ8O6AZ16O.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/27%2FK1%2FGE%2FJIN9LS8R6RAQX5.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/RD%2FJT%2FZR%2F30I57QWPRPAH6L.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/G8%2FMM%2FPA%2FNWTKXWZIF9OC35.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/KG%2FWE%2FGF%2FQJHPPLIQUNS5R7.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/CM%2FPP%2FLX%2FSVXDCCMBDRTOUO.jpg?h=100""}]","","null","null","null","null","null","null","null","Inventory","https://www.rpmotorsales.com/inventory"
"1655373668-15403","https://www.rpmotorsales.com/","","https://www.rpmotorsales.com/inventory/2018-ram-ram-pickup-1500-tradesman/499632","984211226","2018","Ram","Ram","null","","8-Speed Shiftable Automatic","8cyl - 5.7L","4WD","Gas","1C6RR7ST2JS301900","83,119","null","null","25,900","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/XM%2FML%2F99%2FLDWNLG3EXOQXTF.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/2G%2FTR%2FLE%2FFHDYHSRZBTVVCP.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/YP%2F1V%2FTM%2FCCAQSMOVHEKZ4X.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/I5%2F6M%2FD5%2FUUR70CXYTJFMJQ.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/NV%2FBK%2FLK%2FBZZ1DWCVP7GN5U.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/FU%2F4W%2F49%2F72X0H5TMPQLCRJ.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/6R%2FGW%2FGV%2FQ050ETSMZJSO18.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/18%2FJ2%2FST%2FSGGRXXRUH2W5YL.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/DG%2FPC%2FW8%2FCZDKUGEZDPUXWS.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/7J%2FHL%2FXB%2FISDQV5SF8UWOVS.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/CX%2FDO%2FPQ%2F6EQLCED3JFH7C3.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/U7%2FJN%2FYD%2FNMMXP50YTS7BTY.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/JB%2FAW%2FRL%2F1KD3OLUL3LXTW0.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/U0%2FLL%2FOG%2FRSBHSKRAW68CMP.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/QX%2FKG%2FXS%2FCFQSGOGSIK70ZK.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/CF%2FUM%2FJN%2FLKT9DEZOY3PWYD.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/YR%2FNH%2FHV%2F6A8YD5QBILIV1T.jpg?h=100""}]","","null","null","null","null","null","null","null","Inventory","https://www.rpmotorsales.com/inventory"
"1655373718-15411","https://www.rpmotorsales.com/","","https://www.rpmotorsales.com/inventory/2015-ford-f-150-/508633","984211240","2015","Ford","null","null","","A","8cyl - 5L","4WD","null","1FTFW1EF7FFA61251","151,649","null","null","20,900","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/AY%2F8U%2FYC%2FSUECDT1J6A3RUW.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/9X%2FGE%2F0D%2FJPYPFOKIZFPCXG.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/LV%2F0P%2FY0%2FB7VWNOWZHGBLJB.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/GQ%2FDM%2FNM%2FNESAGUORPWWLZ9.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/PM%2F9M%2FLP%2FKP9E2LKHTWKYUF.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/VT%2FWA%2FDP%2FRPNL3KITDPZYU9.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/8R%2FZX%2FXV%2FSQKIPXV5BXHOIA.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/ED%2FQG%2FKH%2FNFUVKKUTPZNEBR.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/JE%2FGH%2FC9%2FFQJCEUAD98RUZN.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/1V%2FY6%2FF3%2FQXSZQPYYCJ8UIC.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/TZ%2FWX%2F8S%2FZCIRTLZEBTDYI4.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/IH%2FAE%2FSZ%2FQJ5O76ZUPBKKHV.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/ZO%2F2S%2FFY%2FTJVLPIWVAIJ0WG.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/PV%2FR3%2FVL%2FVZA7F9XLKEKECJ.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/KG%2FNX%2FPM%2FUC75F8B367ZXQN.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/BV%2F0C%2FTH%2FXFM2XZR49SATEC.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/ML%2F8H%2FNI%2F0A09VMCENR6VYB.jpg?h=100""}]","","null","null","null","null","null","null","null","Inventory","https://www.rpmotorsales.com/inventory"
"1655373689-15406","https://www.rpmotorsales.com/","","https://www.rpmotorsales.com/inventory/2014-gmc-sierra-1500-slt/514434","984211244","2014","GMC","Sierra","null","","A","8cyl - 5.3L","4WD","null","3GTU2VEC9EG417034","127,356","null","null","25,500","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/file-uploads%2Fdealer451486%2FQT%2FQX%2FEE%2F7KMY0MAKEZ4BRV.png?h=100""}]","","null","null","null","null","null","null","null","Inventory","https://www.rpmotorsales.com/inventory"
"1655373575-15401","https://www.rpmotorsales.com/","","https://www.rpmotorsales.com/inventory/2016-ram-ram-pickup-2500-laramie/508635","984211237","2016","Ram","Ram","null","","A","6cyl - 6.7L","4WD","Diesel","3C6UR5NL9GG335777","134,638","null","null","47,900","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/AN%2FTJ%2FVQ%2FD0QSWCUC5EOAO8.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/HC%2FFE%2FK5%2F7KFTIQJTDCXUT6.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/QQ%2FRI%2FGJ%2FXRCXB8OK0LQGDJ.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/SY%2FFB%2FFK%2F72EXYNINV4XYDK.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/57%2FFM%2F4N%2F2DAMNSVKJKUZSA.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/HS%2FKJ%2FNN%2F0BYYAHPOE69GAH.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/UW%2FJO%2F0T%2FGKMWED3EFST9YJ.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/3P%2FOJ%2FJJ%2FOQQ3MJEX4LDACO.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/LW%2FGB%2F9M%2F1OO2LQHLHZJ8A5.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/5R%2FJR%2FZN%2FLVDGBJ2FVRIANB.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/HK%2FIT%2FYR%2FPDEEUEPKCAATNI.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/QD%2FXU%2FWZ%2FFPJNEM61OVOTH1.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/YU%2FA5%2FND%2FABXON6CWTDWYSE.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/MF%2F0Q%2FQD%2FMJJGVJDUULHYLD.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/6E%2F5B%2FSS%2F5WVBBFHSGXQIFS.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/P3%2F18%2F5H%2FCW48UNWXDNSEKW.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/II%2FMP%2FL4%2FMIMHM7C6NNFOCZ.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/OF%2FBQ%2FEP%2FM3MOEOZRTFLHEE.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/AU%2FDT%2FSQ%2F4WLFLAWDPZSNWV.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/0P%2FWB%2FHA%2F3YUCKLLE9ASP8K.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/HV%2F34%2FNU%2FQV1QOJC7JDTMGT.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/G4%2F58%2FE6%2FKWIOQ8PU8F5H6G.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/KP%2FEF%2F0V%2FKPH5QHBLIOGL4L.jpg?h=100""}]","","null","null","null","null","null","null","null","Inventory","https://www.rpmotorsales.com/inventory"
"1655373701-15407","https://www.rpmotorsales.com/","","https://www.rpmotorsales.com/inventory/2014-ford-fusion-se/507075","984211234","2014","Ford","Fusion","null","","6-Speed Shiftable Automatic","4cyl - 1.5L","FWD","Gas","3FA6P0HD8ER127055","90,569","null","null","16,500","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/WG%2FW8%2FO0%2F33ZVH4GCPLQEEL.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/S7%2FVP%2FOZ%2FXNU9RJGDATSG5Z.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/KK%2FSZ%2FGZ%2F7GFP2GPQPIC6JK.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/US%2F3H%2FWI%2FNATYNRNOBOJOOF.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/FQ%2FNN%2FH9%2FOUTBADBGMVTJTC.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/GO%2FKF%2FMR%2FAQVG8JZRQJIZSV.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/V5%2FUX%2FRE%2FWON9AVVVCKKQQR.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/LO%2FY1%2FGM%2FHY8ABZTVY5EM1G.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/AN%2FQP%2FPV%2FJNROFWOOYSBMYG.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/LT%2F7I%2FBO%2FQCUVBVNKW5RY4O.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/UM%2FWY%2FMI%2FDZSBG6B5STPYER.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/YY%2F5I%2FVV%2FX3HDTQY2VQFHRY.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/JB%2F8D%2FH4%2FTFBL0FTRMEBEPC.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/TQ%2FS3%2F0E%2FSM6LRMQJ9MQ15X.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/XZ%2FGH%2FC0%2FXPMBPXKREMEGPF.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/GQ%2FID%2FNF%2F1T41Y7R1ACZ8EK.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/S0%2FTX%2FAQ%2FJUEHLMW4QQKTHD.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/NX%2FN4%2FQZ%2F5O0UPSVHSJCFLS.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/Y0%2FCB%2FKB%2FI1WV9MTVU8JN9K.jpg?h=100""}]","","null","null","null","null","null","null","null","Inventory","https://www.rpmotorsales.com/inventory"
"1655373571-15400","https://www.rpmotorsales.com/","","https://www.rpmotorsales.com/inventory/2011-ram-ram-pickup-3500-st/507073","984211233","2011","Ram","Ram","null","","6-Speed Shiftable Automatic","6cyl - 6.7L","4WD","Diesel","3D73Y3CL2BG597721","99,518","null","null","42,700","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/VA%2FZJ%2FVW%2FSEZTAJSDCCZXDW.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/2M%2FUQ%2FAO%2FEPGZZYWIFXPM2W.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/MS%2FAH%2FWY%2FG6MNLRKPQVVUQY.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/WA%2FZ2%2FYL%2F3NFOAP5IXVVHVX.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/GG%2FB9%2FED%2FEQ48DGAXK8JJPF.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/NF%2FDD%2FPB%2FKCDM5IFYARBP2C.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/S7%2FL1%2FU0%2FRRQ1QBKWEEB4JM.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/GB%2FXL%2FNG%2FBBTGVE3AG0EOVJ.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/JD%2F2D%2FZQ%2FTT2XDZT1EEXGYR.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/TD%2FT0%2FPE%2FMYVXOQDHP3ZNKI.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/5T%2FLM%2FHV%2FIRLXELWW93XOLL.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/45%2FTS%2FFJ%2FRTRKQ2MZM1B1PR.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/WD%2FRV%2FUH%2F29ULRPDR9WZRFF.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/01%2FUQ%2FNG%2FQG3U6IKF0PTMKE.jpg?h=100""}]","","null","null","null","null","null","null","null","Inventory","https://www.rpmotorsales.com/inventory"
"1655373709-15409","https://www.rpmotorsales.com/","","https://www.rpmotorsales.com/inventory/2019-ford-f-350-super-duty-xlt/514448","984211246","2019","Ford","Duty","null","","6-Speed Shiftable Automatic","8cyl - 6.7L","4WD","Diesel","1FT8W3BT6KEF50366","118,503","null","null","null","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/file-uploads%2Fdealer451486%2FQT%2FQX%2FEE%2F7KMY0MAKEZ4BRV.png?h=100""}]","","null","null","null","null","null","null","null","Inventory","https://www.rpmotorsales.com/inventory"
"1655373723-15412","https://www.rpmotorsales.com/","","https://www.rpmotorsales.com/inventory/2016-ford-f-150-fx4/505785","984211231","2016","Ford","null","null","","6-Speed Shiftable Automatic","6cyl - 3.5L","4WD","Gas","1FTEW1EG5GKD84758","117,565","null","null","26,900","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/KG%2FAT%2FH7%2FO78QHKQRAFCIUG.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/GX%2FWZ%2FUK%2FFWWEH16TRJFCFR.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/NL%2FYZ%2F0K%2FIU8PADULQJFV8V.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/TX%2FMO%2FLN%2FVPF7EKW9YRMP7M.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/X9%2F06%2FOR%2FEWTQWUQHLBA3YS.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/E6%2FTY%2FCH%2F3LD0JUD1V2YHEE.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/BS%2FCU%2FZI%2FQAANHKXH2PIEXV.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/WI%2FGH%2FGQ%2FJWFS82MN6ZMKA0.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/D2%2FT2%2FUY%2F3ZWSABS5THVAU1.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/MG%2FZW%2FB8%2FJ2BE2OBNRVWEZ0.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/1I%2FWK%2F6L%2FFLYLX0KTJ5KRVF.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/HD%2FTG%2F8R%2FFNWWVXOQ8MONVH.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/UF%2FLA%2FAK%2FFSTMIQLEFA4IRB.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/YY%2FT9%2FLP%2FZNDXUWZLYDJFK7.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/RM%2FQI%2FA4%2FEMQ0VWDQYC0ZKO.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/HW%2FII%2F6O%2FOCUYTNRPGYHIX6.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/A1%2F5K%2FBS%2F4YOYDWNDUPMI1E.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/L8%2FFA%2FH8%2FYZUGTZWMKKPJEV.jpg?h=100""}]","","null","null","null","null","null","null","null","Inventory","https://www.rpmotorsales.com/inventory"
"1655373705-15408","https://www.rpmotorsales.com/","","https://www.rpmotorsales.com/inventory/2015-ford-f-350-super-duty-lariat/487868","984211201","2015","Ford","Duty","null","","6-Speed Shiftable Automatic","8cyl - 6.2L","4WD","Gas","1FT8W3B6XFEC53617","103,112","null","null","34,900","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/VS%2F1P%2FM8%2F22NQSDGKH2SGIC.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/I3%2FRN%2FK8%2FKPWB73EE9GBHOC.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/SK%2FDA%2FA5%2FM5WAQKR6WXH2LK.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/D6%2FEO%2F7V%2FKQB5CSH8GZ9LRZ.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/IO%2F6E%2FLE%2FJUEY3P7WKMN6DR.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/2X%2FLK%2FHE%2FIVN9HYO0OJVTGQ.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/VT%2FQI%2FAZ%2FBOLLH7GUK4B3PQ.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/UX%2FLT%2FQG%2FEWYJOOPTKMGDW3.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/OV%2FYP%2FBM%2F3PYBGKAJRMQWZ7.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/BK%2FRZ%2FKN%2FCSBYBEQUFEDLGV.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/3E%2FDD%2FQT%2FOGV9XTPX6DELJD.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/F4%2F98%2FVI%2FOB5W0LGQPABFRF.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/KO%2FCA%2FGA%2FO4OQQU35MFAMOA.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/MY%2FL8%2FM1%2FMXA01DSL111NW8.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/E6%2F1J%2F6S%2FQX2NLZ52O1MXRD.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/UU%2FUV%2FNG%2FITXOJOPY0KR5C9.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/XO%2FPF%2FM1%2FFD1LKDW0RMBRMS.jpg?h=100""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealrimages.com/8S%2FZD%2FNN%2FPILHUUMOBDOQTK.jpg?h=100""}]","","null","null","null","null","null","null","null","Inventory","https://www.rpmotorsales.com/inventory"
