web-scraper-order,web-scraper-start-url,link,link-href,stock,year,make,model,style,cylinder,transmission,engine,drive train,fuel type,vin,mileage,color,color 2,internet price,photo urls-src,doors,Vehicle Type,description,trim,certified,condition,options,link2-href,imgcdn,test,test-Style
1658400275-12,https://www.journeychryslerdodgejeepram.com/en/used-inventory,,,#L99871,2019,Chevrolet,Volt,null,,Automatic,1.5L VVT DI DOHC 4-Cylinder Range Extender,FWD,Hybrid,1G1RA6S53KU115745,91538,null,Interior Color,"36,589",https://cdn.spincar.com/spincar-static/20190909/?_=0fb77324a6ec#!customer=coquitlamchrysler!vin=1c4ajwag2dl604329!canonicalhostname=journeychryslerdodgejeepram.com!stscolor=00A19B%2CF5A623%2CAD0025!lang=en!popoutenabled!region=us,5,Hatchback,"Recent Arrival!2019 Chevrolet Volt LT FWD 1-Speed Automatic 1.5L VVT DI DOHC 4-Cylinder Range Extender Gray1.5L VVT DI DOHC 4-Cylinder Range Extender, 8 Speakers, AM/FM radio: SiriusXM, Bose Premium 8-Speaker Audio System Feature, Bumpers: body-colour, Exterior Parking Camera Rear, Heated door mirrors, Heated front seats, Heated steering wheel, Power door mirrors, Split folding rear seat, Wheels: 17"" x 7"" 5-Spoke Painted Aluminum.",null,,e,Driver Air BagPassenger Air BagFront Side Air BagRear Side Air BagFront Head Air BagRear Head Air BagClimate ControlA/CSecurity SystemAM/FM StereoABS4-Wheel Disc BrakesCruise ControlRear DefrostChild Safety LocksFloor MatsDaytime Running LightsKeyless EntryPower Door LocksHeated MirrorsPower Mirror(s)Pass-Through Rear SeatBucket SeatsPower SteeringAdjustable Steering WheelTraction ControlAluminum WheelsPower WindowsIntermittent WipersPremium Sound SystemSatellite RadioMP3 PlayerHeated Front Seat(s)Variable Speed Intermittent WipersSteering Wheel Audio ControlsImmobilizerAutomatic HeadlightsDriver Vanity MirrorPassenger Vanity MirrorLeather Steering WheelTow HooksTire Pressure MonitorBluetooth ConnectionTelematicsRemote Engine StartBack-Up CameraStability ControlBrake AssistKeyless StartAuxiliary Audio InputCargo ShadeRear Bench SeatPassenger Air Bag SensorKnee Air BagHeated Steering WheelWiFi HotspotSmart Device IntegrationDriver Restriction FeaturesRequires Subscription,https://www.journeychryslerdodgejeepram.com/en/used-inventory/chevrolet/volt/2019-chevrolet-volt-id27705307,//cdn.spincar.com/spincar-static/20190909/?_=0fb77324a6ec#!customer=coquitlamchrysler!vin=1g1ra6s53ku115745!canonicalhostname=journeychryslerdodgejeepram.com!stscolor=00A19B%2CF5A623%2CAD0025!lang=en!popoutenabled!region=us,[],
1658400264-10,https://www.journeychryslerdodgejeepram.com/en/used-inventory,,,#L85928,2018,Mitsubishi,RVR,null,,CVT,2.0L I4 DOHC 16V MIVEC,4WD,Gasoline,JA4AJ3AU8JU601469,68224,null,Interior ColorBlack,"26,888",https://cdn.spincar.com/spincar-static/20190909/?_=0fb77324a6ec#!customer=coquitlamchrysler!vin=1c4ajwag2dl604329!canonicalhostname=journeychryslerdodgejeepram.com!stscolor=00A19B%2CF5A623%2CAD0025!lang=en!popoutenabled!region=us,5,SUV,"2018 Mitsubishi RVR SE 4WD CVT 2.0L I4 DOHC 16V MIVEC Black6 Speakers, Air Conditioning, AM/FM radio: SiriusXM, Android Auto & Apple CarPlay, Automatic temperature control, Exterior Parking Camera Rear, Fabric Seat Trim, Front fog lights, Heated Front Bucket Seats, Leather Shift Knob, Radio: 7"" Smartphone Link Display Audio, Rear window defroster, Remote keyless entry, Speed control, Speed-sensing steering, Steering wheel mounted audio controls, Traction control.Odometer is 16026 kilometers below market average!",null,,e,Driver Air BagPassenger Air BagFront Side Air BagFront Head Air BagRear Head Air BagClimate ControlA/CSecurity SystemAM/FM StereoABS4-Wheel Disc BrakesCruise ControlRear DefrostChild Safety LocksFloor MatsDaytime Running LightsKeyless EntryPower Door LocksHeated MirrorsPower Mirror(s)Pass-Through Rear SeatCloth SeatsBucket SeatsPower SteeringAdjustable Steering WheelTemporary Spare TireTraction ControlAluminum WheelsPower WindowsIntermittent WipersSatellite RadioMP3 PlayerFog LampsHeated Front Seat(s)Privacy GlassVariable Speed Intermittent WipersSteering Wheel Audio ControlsImmobilizerAutomatic HeadlightsDriver Vanity MirrorPassenger Vanity MirrorLeather Steering WheelTire Pressure MonitorTrip ComputerBluetooth ConnectionBack-Up CameraStability ControlBrake AssistAuxiliary Audio InputRear Bench SeatPassenger Air Bag SensorKnee Air BagSmart Device IntegrationRequires Subscription,https://www.journeychryslerdodgejeepram.com/en/used-inventory/mitsubishi/rvr/2018-mitsubishi-rvr-id27705309,null,[],
1658400254-8,https://www.journeychryslerdodgejeepram.com/en/used-inventory,,,#L49734,2014,BMW,3 Series,null,,Automatic,2.0L 4-Cylinder DOHC 16V Turbocharged,AWD,Gasoline,WBA3B3C57EJ981829,182322,null,Interior Color,"16,500",https://cdn.spincar.com/spincar-static/20190909/?_=0fb77324a6ec#!customer=coquitlamchrysler!vin=1c4ajwag2dl604329!canonicalhostname=journeychryslerdodgejeepram.com!stscolor=00A19B%2CF5A623%2CAD0025!lang=en!popoutenabled!region=us,5,Sedan,"Recent Arrival!2014 BMW 3 Series 328i xDrive AWD 8-Speed Automatic 2.0L 4-Cylinder TwinPower Turbo WhiteAWD, Anthracite Roofliner, Anti-whiplash front head restraints, Brushed Aluminum Trim, Coral Red Trim Highlight, Dakota Leather Upholstery, Emergency communication system: BMW Assist eCall, Front fog lights, Fully automatic headlights, Genuine wood console insert, Genuine wood dashboard insert, Genuine wood door panel insert, Heated front seats, Heated Power Front Seats, High intensity discharge headlights: Bi-xenon, High Speed Maximum, High-Gloss Shadow Line, Leather Shift Knob, Leather steering wheel, Memory seat, On-Board Navigation, Power driver seat, Power moonroof, Rain sensing wipers, Remote keyless entry, Speed control, Speed-sensing steering, Speed-Sensitive Wipers, Sport Line, Sport Line (7AC), Sport Seats, Steering wheel mounted audio controls, Traction control, Wheels: 19 x 8.0 Fr & 19 x 8.5 Rr Alloy Style 401.Reviews:  * Owners appreciate solid real-world fuel efficiency, pleasing handling and steering, pleasing performance, a high-class feel to the cabin, great overall design, and an overall sense of driving something well-made, robust, and solid. Performance from six-cylinder models is said to be excellent, as is the up-level stereo system. Source: autoTRADER.ca",null,,e,Driver Air BagPassenger Air BagFront Side Air BagFront Head Air BagRear Head Air BagClimate ControlMulti-Zone A/CA/CRear A/CAM/FM StereoCD PlayerABS4-Wheel Disc BrakesCruise ControlRear DefrostChild Safety LocksFloor MatsDaytime Running LightsKeyless EntryPower Door LocksHeated MirrorsPower Mirror(s)Navigation SystemSun/MoonroofPower Driver SeatPower Passenger SeatLeather SeatsBucket SeatsPower SteeringAdjustable Steering WheelTraction ControlAluminum WheelsPower WindowsIntermittent WipersGeneric Sun/MoonroofMP3 PlayerFog LampsHeated Front Seat(s)Variable Speed Intermittent WipersRain Sensing WipersSteering Wheel Audio ControlsImmobilizerHID headlightsAutomatic HeadlightsWoodgrain Interior TrimAuto-Dimming Rearview MirrorIntegrated Turn Signal MirrorsDriver Vanity MirrorPassenger Vanity MirrorDriver Illuminated Vanity MirrorPassenger Illuminated Visor MirrorMirror MemorySeat MemoryLeather Steering WheelTire Pressure MonitorTrip ComputerBluetooth ConnectionTelematicsStability ControlBrake AssistKeyless StartAuxiliary Audio InputPower Folding MirrorsHard Disk Drive Media StorageRear Bench SeatPassenger Air Bag SensorHeadlights-Auto-LevelingKnee Air BagRequires Subscription,https://www.journeychryslerdodgejeepram.com/en/used-inventory/bmw/3_series/2014-bmw-3_series-id27705312,null,[],
1658400268-11,https://www.journeychryslerdodgejeepram.com/en/used-inventory,,,#L674071,2016,Ram,1500,null,,Automatic,EcoDiesel 3.0L V6,4WD,DieselN/ACityN/AHwyL /,1C6RR7NM4GS379107,147434,null,Interior Color,"39,400",https://cdn.spincar.com/spincar-static/20190909/?_=0fb77324a6ec#!customer=coquitlamchrysler!vin=1c4ajwag2dl604329!canonicalhostname=journeychryslerdodgejeepram.com!stscolor=00A19B%2CF5A623%2CAD0025!lang=en!popoutenabled!region=us,5,Pickup - Crew Cab,"2016 Ram 1500 Laramie 4WD 8-Speed Automatic EcoDiesel 3.0L V6 Blue Streak Pearlcoat10 Speakers, 115-Volt Auxiliary Power Outlet, 8.4"" Touchscreen, Adjustable pedals, Air Conditioning, Anti-Spin Differential Rear Axle, Audio memory, Automatic High Beam Headlamp Control, Automatic temperature control, Block heater, Chrome Power Trailer Tow Mirrors, Chrome Tubular Side Steps, Class IV Hitch Receiver, Convenience Group, Electronically Controlled Throttle, Fold-Flat Load Floor w/Storage, Front fog lights, Fully automatic headlights, Garage door transmitter: HomeLink, Hands-Free Comm w/Bluetooth, Heated front seats, Heated steering wheel, Keyless Enter 'N Go w/Push Start, Leather steering wheel, Leather-Faced Front 40/20/40 Bench Seat, Media Hub w/SD/USB/AUX Input Jack, Memory seat, ParkView Rear Back-Up Camera, Pedal memory, Pickup Box Lighting, Power Sunroof, Quick Order Package 28H Laramie, Rain-Sensing Windshield Wipers, Rear step bumper, Rear Window Defroster, Remote Proximity Keyless Entry, Single-Disc Remote CD Player, Speed control, Spray-In Bedliner, Steering wheel mounted audio controls, Traction control, Trailer Brake Control, Trailer Tow Mirrors & Brake Group.",null,,e,Driver Air BagPassenger Air BagFront Side Air BagFront Head Air BagRear Head Air BagClimate ControlMulti-Zone A/CA/CSecurity SystemAM/FM StereoABS4-Wheel Disc BrakesCruise ControlChild Safety LocksFloor MatsDaytime Running LightsKeyless EntryPower Door LocksHeated MirrorsPower Mirror(s)Power Driver SeatPower Passenger SeatPass-Through Rear SeatLeather SeatsPower SteeringAdjustable Steering WheelConventional Spare TireTraction ControlChrome WheelsPower WindowsIntermittent WipersPremium Sound SystemSatellite RadioMP3 PlayerFog LampsHeated Front Seat(s)Privacy GlassVariable Speed Intermittent WipersSteering Wheel Audio ControlsImmobilizerAutomatic HeadlightsWoodgrain Interior TrimAuto-Dimming Rearview MirrorIntegrated Turn Signal MirrorsDriver Vanity MirrorPassenger Vanity MirrorDriver Illuminated Vanity MirrorPassenger Illuminated Visor MirrorMirror MemoryRear Parking AidAdjustable PedalsDriver Adjustable LumbarPassenger Adjustable LumbarSeat MemoryLeather Steering WheelTire Pressure MonitorTrip ComputerUniversal Garage Door OpenerWheel LocksBluetooth ConnectionBack-Up CameraStability ControlBrake AssistAuxiliary Audio InputCooled Front Seat(s)Power Folding MirrorsRear Bench SeatPassenger Air Bag SensorHeated Steering WheelRequires Subscription,https://www.journeychryslerdodgejeepram.com/en/used-inventory/ram/1500/2016-ram-1500-id27705308,//cdn.spincar.com/spincar-static/20190909/?_=0fb77324a6ec#!customer=coquitlamchrysler!vin=1c6rr7nm4gs379107!canonicalhostname=journeychryslerdodgejeepram.com!stscolor=00A19B%2CF5A623%2CAD0025!lang=en!popoutenabled!region=us,[],
1658400226-2,https://www.journeychryslerdodgejeepram.com/en/used-inventory,,,#M09845,2020,Jeep,Gladiator,null,,Automatic,3.6L V6 24V VVT,4WD,Gasoline,1C6HJTFG1LL145595,70000,null,Interior Color,"58,523",https://cdn.spincar.com/spincar-static/20190909/?_=0fb77324a6ec#!customer=coquitlamchrysler!vin=1c4ajwag2dl604329!canonicalhostname=journeychryslerdodgejeepram.com!stscolor=00A19B%2CF5A623%2CAD0025!lang=en!popoutenabled!region=us,5,Pickup - Crew Cab,"Recent Arrival!2020 Jeep Gladiator Overland 4WD 8-Speed Automatic 3.6L V6 24V VVT Bright White Clearcoat1-Year SiriusXM Guardian Subscription, 240-Amp Alternator, 5-Year SiriusXM Traffic Subscription, 5-Year SiriusXM Travel Link Subscription, 8.4"" Touchscreen, Alpine Premium Audio System, Auto-Dimming Rear-View Mirror, Class IV Hitch Receiver, Cold Weather Group, Daytime Running Lights w/LED Accents, For Details, Visit DriveUconnect.ca, Front Heated Seats, GPS Navigation, HD Radio, Heated door mirrors, Heated Steering Wheel, Heavy-Duty Engine Cooling, LED Fog Lamps, LED Lighting Group, LED Park Turn Lamps, LED Reflector Headlamps, LED Taillamps, MOPAR 1941 Hood Decal, Normal-Duty Plus Suspension, Power door mirrors, Quick Order Package 24G Overland, Radio: Uconnect 4C Nav w/8.4"" Display, SiriusXM Traffic, SiriusXM Travel Link, SOS Call & Roadside Assistance Call, Star MOPAR Body Side Graphic, Trailer Tow Package, Uconnect 4C Nav & Sound Group, Wheels: 18"" x 7.5"" Granite Crystal Aluminum.",null,,e,Driver Air BagPassenger Air BagFront Side Air BagClimate ControlMulti-Zone A/CA/CSecurity SystemAM/FM StereoABS4-Wheel Disc BrakesCruise ControlRear DefrostChild Safety LocksFloor MatsDaytime Running LightsKeyless EntryPower Door LocksHeated MirrorsPower Mirror(s)Running Boards/Side StepsPass-Through Rear SeatBucket SeatsPower SteeringAdjustable Steering WheelConventional Spare TireTraction ControlAluminum WheelsPower WindowsIntermittent WipersRollover Protection BarsSatellite RadioMP3 PlayerFog LampsPrivacy GlassVariable Speed Intermittent WipersSteering Wheel Audio ControlsImmobilizerAutomatic HeadlightsDriver Vanity MirrorPassenger Vanity MirrorDriver Illuminated Vanity MirrorPassenger Illuminated Visor MirrorDriver Adjustable LumbarLeather Steering WheelTow HitchTow HooksTire Pressure MonitorTrip ComputerUniversal Garage Door OpenerSliding Rear WindowBluetooth ConnectionBack-Up CameraStability ControlBrake AssistKeyless StartAuxiliary Audio InputRear Bench SeatPassenger Air Bag SensorSmart Device IntegrationRequires Subscription,https://www.journeychryslerdodgejeepram.com/en/used-inventory/jeep/gladiator/2020-jeep-gladiator-id27716282,//cdn.spincar.com/spincar-static/20190909/?_=0fb77324a6ec#!customer=coquitlamchrysler!vin=1c6hjtfg1ll145595!canonicalhostname=journeychryslerdodgejeepram.com!stscolor=00A19B%2CF5A623%2CAD0025!lang=en!popoutenabled!region=us,[],
1658400259-9,https://www.journeychryslerdodgejeepram.com/en/used-inventory,,,#L59833,2015,Nissan,Sentra,null,,null,1.8L 4-Cylinder DOHC 16V,FWD,Gasoline,3N1AB7APXFL647345,183537,null,Interior ColorCharcoal,"14,500",https://cdn.spincar.com/spincar-static/20190909/?_=0fb77324a6ec#!customer=coquitlamchrysler!vin=1c4ajwag2dl604329!canonicalhostname=journeychryslerdodgejeepram.com!stscolor=00A19B%2CF5A623%2CAD0025!lang=en!popoutenabled!region=us,5,Sedan,"Recent Arrival!2015 Nissan Sentra FWD 1.8L 4-Cylinder DOHC 16V BlackBlock heater, CD player, Front Bucket Seats, Full Tank of Fuel & Floor Mats, Radio data system, Rear window defroster, Remote keyless entry, Speed-sensing steering, Split folding rear seat, Steering wheel mounted audio controls, Traction control.Reviews:  * Owners comment positively on Sentra’s roomy-for-its-size cabin, upscale feature content, a solid and sturdy drive, good ride quality, and low noise levels. By most accounts, including some from your correspondent, this generation of Sentra appealed strongly in how it drives and feels like a bigger car. Audiophiles enjoyed the up-level Bose stereo system, and driving enthusiasts appreciated the availability of a manual transmission, even on higher-grade units. Mileage is also highly rated. Source: autoTRADER.ca",null,,e,Driver Air BagPassenger Air BagFront Side Air BagFront Head Air BagRear Head Air BagSecurity SystemAM/FM StereoCD PlayerABSCruise ControlRear DefrostChild Safety LocksFloor MatsDaytime Running LightsKeyless EntryPower Door LocksHeated MirrorsPower Mirror(s)Pass-Through Rear SeatBucket SeatsPower SteeringAdjustable Steering WheelTemporary Spare TireTraction ControlPower WindowsIntermittent WipersMP3 PlayerVariable Speed Intermittent WipersSteering Wheel Audio ControlsImmobilizerDriver Vanity MirrorPassenger Vanity MirrorRemote Trunk ReleaseTire Pressure MonitorTrip ComputerBluetooth ConnectionStability ControlBrake AssistKeyless StartAuxiliary Audio InputRear Bench SeatPassenger Air Bag Sensor,https://www.journeychryslerdodgejeepram.com/en/used-inventory/nissan/sentra/2015-nissan-sentra-id27705310,https://integrations.autoverify.com/en_CA/credit/render/487b4494-39dc-4852-9bd9-8213067b2cf7?deviceType=desktop&referrerUrl=https://www.journeychryslerdodgejeepram.com/en/used-inventory/nissan/sentra/2015-nissan-sentra-id27705310,[],
1658400249-7,https://www.journeychryslerdodgejeepram.com/en/used-inventory,,,#M19765,2021,Ram,1500 Classic,null,,Automatic,3.6L V6 24V VVT,4WD,GasolineN/ACityN/AHwyL /,1C6RR7LG2MS585387,6710,null,Interior Color,"52,544",https://cdn.spincar.com/spincar-static/20190909/?_=0fb77324a6ec#!customer=coquitlamchrysler!vin=1c4ajwag2dl604329!canonicalhostname=journeychryslerdodgejeepram.com!stscolor=00A19B%2CF5A623%2CAD0025!lang=en!popoutenabled!region=us,5,Pickup - Crew Cab,"Recent Arrival!2021 Ram 1500 Classic Warlock 4WD 8-Speed Automatic 3.6L V6 24V VVT Maximum Steel Metallic Clearcoat2nd Row In Floor Storage Bins, 4x4 Flat Black Badge, Auto-Dimming Exterior Mirrors, Auto-Dimming Rear-View Mirror, Bi-Function Halogen Projector Headlamps, Black Door Handles, Black Exterior Truck Badging, Black Grille w/RAM Lettering, Black Headlamp Filler Panel, Black Powder Coated Front Bumper, Black Powder Coated Rear Bumper, Black RAM Head Tailgate Badge, Black Wheel Flares, Cluster 7.0"" TFT Color Display, Exterior Mirrors Courtesy Lamps, Exterior Mirrors w/Supplemental Signals, Front LED Fog Lamps, Front Wheel Well Liners, Leather Wrapped Steering Wheel, LED Bed Lighting, Luxury Group, Overhead Console w/Garage Door Opener, ParkSense Rear Park Assist System, Power Heated Fold-Away Mirrors, Power-Folding Mirrors, Pushbutton Start, Quick Order Package 29F Warlock, Raised Ride Height, Rear Dome w/On/Off Switch Lamp, Rear Extra HD Shock Absorbers, Remote Proximity Keyless Entry, Semi-Gloss Black Hub, Sport Tail Lamps, Steering Wheel Mounted Audio Controls, Sun Visors w/Illuminated Vanity Mirrors, Technology Package I, Tow Hooks, Universal Garage Door Opener, Utility Group, Warlock, Warlock Interior Accents, Wheels: 20"" x 9"" Semi-Gloss Black Aluminum.Odometer is 2047 kilometers below market average!",null,,e,Driver Air BagPassenger Air BagFront Side Air BagFront Head Air BagRear Head Air BagA/CAM/FM StereoABS4-Wheel Disc BrakesCruise ControlChild Safety LocksFloor MatsKeyless EntryPower Door LocksHeated MirrorsPower Mirror(s)Cloth SeatsPower SteeringAdjustable Steering WheelConventional Spare TireTraction ControlAluminum WheelsPower WindowsIntermittent WipersMP3 PlayerPrivacy GlassVariable Speed Intermittent WipersImmobilizerAutomatic HeadlightsPassenger Vanity MirrorRear Parking AidTire Pressure MonitorTrip ComputerBluetooth ConnectionBack-Up CameraStability ControlBrake AssistAuxiliary Audio InputRear Bench SeatPassenger Air Bag Sensor,https://www.journeychryslerdodgejeepram.com/en/used-inventory/ram/1500_classic/2021-ram-1500_classic-id27705318,//cdn.spincar.com/spincar-static/20190909/?_=0fb77324a6ec#!customer=coquitlamchrysler!vin=1c6rr7lg2ms585387!canonicalhostname=journeychryslerdodgejeepram.com!stscolor=00A19B%2CF5A623%2CAD0025!lang=en!popoutenabled!region=us,[],
1658400235-4,https://www.journeychryslerdodgejeepram.com/en/used-inventory,,,#L897501,2018,Ram,1500,null,,Automatic,HEMI 5.7L V8 Multi Displacement VVT,4WD,GasolineN/ACityN/AHwyL /,1C6RR7TT1JS123038,160000,null,Interior Color,"28,900",https://cdn.spincar.com/spincar-static/20190909/?_=0fb77324a6ec#!customer=coquitlamchrysler!vin=1c4ajwag2dl604329!canonicalhostname=journeychryslerdodgejeepram.com!stscolor=00A19B%2CF5A623%2CAD0025!lang=en!popoutenabled!region=us,5,Pickup - Crew Cab,"Recent Arrival!2018 Ram 1500 SLT 4WD 8-Speed Automatic HEMI 5.7L V8 Multi Displacement VVT Bright Silver Metallic Clearcoat8.4"" Touchscreen Display, Alloy wheels, Apple CarPlay, Audio Jack Input for Mobile Devices, Black Exterior Mirrors, Bumpers: chrome, Electronic Stability Control, Exterior Mirrors w/Heating Element, Google Android Auto, GPS Antenna Input, HD Radio, Heated door mirrors, Integrated Voice Command w/Bluetooth, Media Hub (2 USB, AUX), ParkView Rear Back-Up Camera, Power Black Trailer Tow Mirrors, Power door mirrors, Radio: Uconnect 4C w/8.4"" Display, Rear step bumper, Remote USB Port, SiriusXM Satellite Radio, Trailer Brake Control, Trailer Tow Mirrors, Trailer Tow Mirrors & Brake Group, USB Host Flip.Awards:  * Canadian Car of the Year AJAC's Best Pick-Up Truck In Canada For 2018",null,,e,Driver Air BagPassenger Air BagFront Side Air BagFront Head Air BagRear Head Air BagA/CAM/FM StereoABS4-Wheel Disc BrakesCruise ControlChild Safety LocksFloor MatsDaytime Running LightsKeyless EntryPower Door LocksHeated MirrorsPower Mirror(s)Cloth SeatsPower SteeringAdjustable Steering WheelConventional Spare TireTraction ControlAluminum WheelsPower WindowsIntermittent WipersSatellite RadioMP3 PlayerFog LampsPrivacy GlassVariable Speed Intermittent WipersImmobilizerAutomatic HeadlightsPassenger Vanity MirrorTow HitchTow HooksTire Pressure MonitorTrip ComputerBluetooth ConnectionStability ControlBrake AssistAuxiliary Audio InputRear Bench SeatPassenger Air Bag SensorRequires Subscription,https://www.journeychryslerdodgejeepram.com/en/used-inventory/ram/1500/2018-ram-1500-id27716276,//cdn.spincar.com/spincar-static/20190909/?_=0fb77324a6ec#!customer=coquitlamchrysler!vin=1c6rr7tt1js123038!canonicalhostname=journeychryslerdodgejeepram.com!stscolor=00A19B%2CF5A623%2CAD0025!lang=en!popoutenabled!region=us,[],
1658400239-5,https://www.journeychryslerdodgejeepram.com/en/used-inventory,,,null,null,null,null,null,,null,null,null,https://www.journeychryslerdodgejeepram.com/en/used-inventory /,null,0,null,Interior Color,null,https://cdn.spincar.com/spincar-static/20190909/?_=0fb77324a6ec#!customer=coquitlamchrysler!vin=1c4ajwag2dl604329!canonicalhostname=journeychryslerdodgejeepram.com!stscolor=00A19B%2CF5A623%2CAD0025!lang=en!popoutenabled!region=us,null,null,,null,,e,,https://www.journeychryslerdodgejeepram.com/en/used-inventory/jeep/grand_cherokee/2021-jeep-grand_cherokee-id27716273,https://integrations.autoverify.com/en_CA/credit/render/487b4494-39dc-4852-9bd9-8213067b2cf7?deviceType=desktop&referrerUrl=https://www.journeychryslerdodgejeepram.com/en/used-inventory/jeep/grand_cherokee/2021-jeep-grand_cherokee-id27716273,[],
1658400222-1,https://www.journeychryslerdodgejeepram.com/en/used-inventory,,,null,null,null,null,null,,null,null,null,N/ACityN/AHwyL /,null,0,null,Interior Color,null,https://cdn.spincar.com/spincar-static/20190909/?_=0fb77324a6ec#!customer=coquitlamchrysler!vin=1c4ajwag2dl604329!canonicalhostname=journeychryslerdodgejeepram.com!stscolor=00A19B%2CF5A623%2CAD0025!lang=en!popoutenabled!region=us,null,null,,null,,e,,https://www.journeychryslerdodgejeepram.com/en/used-inventory/jeep/wrangler/2022-jeep-wrangler-id27767981,null,[],
